CT_NG,ME_NG,MA_NG,None
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
5.45,5.45,5.28,0.0
