elec_demand_ERC_REST,elec_demand_ERC_WEST,elec_demand_ERC_PHDL,elec_demand_FRCC,elec_demand_MIS_MAPP,elec_demand_MIS_IL,elec_demand_MIS_INKY,elec_demand_MIS_IA,elec_demand_MIS_MIDA,elec_demand_MIS_LMI,elec_demand_MIS_MO,elec_demand_MIS_WUMS,elec_demand_MIS_MNWI,elec_demand_MIS_WOTA,elec_demand_MIS_AMSO,elec_demand_MIS_AR,elec_demand_MIS_D_MS,elec_demand_MIS_LA,elec_demand_NENG_CT,elec_demand_NENGREST,elec_demand_NENG_ME,elec_demand_NY_Z_C&E,elec_demand_NY_Z_F,elec_demand_NY_Z_G-I,elec_demand_NY_Z_J,elec_demand_NY_Z_K,elec_demand_NY_Z_A,elec_demand_NY_Z_B,elec_demand_NY_Z_D,elec_demand_PJM_WMAC,elec_demand_PJM_EMAC,elec_demand_PJM_SMAC,elec_demand_PJM_West,elec_demand_PJM_AP,elec_demand_PJM_COMD,elec_demand_PJM_ATSI,elec_demand_PJM_Dom,elec_demand_PJM_PENE,elec_demand_S_VACA,elec_demand_S_C_KY,elec_demand_S_D_AECI,elec_demand_S_C_TVA,elec_demand_S_SOU,elec_demand_SPP_NEBR,elec_demand_SPP_N,elec_demand_SPP_WEST,elec_demand_SPP_SPS,elec_demand_SPP_WAUE,elec_demand_WEC_CALN,elec_demand_WEC_LADW,elec_demand_WEC_SDGE,elec_demand_WECC_SCE,elec_demand_WECC_MT,elec_demand_WEC_BANC,elec_demand_WECC_ID,elec_demand_WECC_NNV,elec_demand_WECC_SNV,elec_demand_WECC_UT,elec_demand_WECC_PNW,elec_demand_WECC_CO,elec_demand_WECC_WY,elec_demand_WECC_AZ,elec_demand_WECC_NM,elec_demand_WECC_IID
57324.39563572845,23473.871450176972,1441.3616189402978,34099.561838019144,11116.558223370863,5520.532677207504,14034.296547084821,4509.34464018582,4666.2963352913885,19718.124280633194,17018.46325308103,10753.33689435711,9694.902472542179,7353.202056404029,8747.60852629103,6251.381018341308,7299.731619352672,8475.154624989196,3912.67337829488,9670.947692100242,2713.0517268038125,2030.839563626668,1269.1758557760838,2389.785314612686,7827.65604340718,2750.4959748057427,1555.940890169553,2062.969862404099,583.2582621146307,5826.97560636804,20784.361808645244,10713.510992799575,20943.543584916082,8999.657316761824,13988.757658862101,9774.609066809633,19546.620056522013,2927.9310296502645,24915.686327945576,11751.824313245801,1078.1748237691058,31087.445377331038,33822.47005840162,7373.712408215631,10752.239855320937,13789.35907271786,2803.741771303021,13757.616199880527,23779.81593312414,20815.54081101482,8405.055391779431,18562.9883317445,4802.597304887117,4657.999651579192,5475.611086624408,2516.8701494474976,7197.8415587783375,8572.138231554301,36385.123803748356,18070.36031759423,7495.890781301112,19350.321174090106,9070.02811364826,2230.2975376628438
50699.99149964596,23168.142299541774,1380.2628433815516,31936.06947388948,10971.35843061219,5424.274066461525,13218.062071873605,4178.901711099287,4174.838899624161,18919.352676474286,16062.440383317486,10674.55370570737,9473.992518902083,6855.158694292593,7926.033146004136,5567.599028138111,6517.4560761622615,7491.404273371652,3671.7023661089047,9024.617865033093,2642.112918602956,1972.8153905410343,1233.5914718995718,2323.163745616763,7583.933834541662,2669.4714718299783,1516.5938765941419,2033.0643278383382,576.5564775372902,5697.997192546878,20179.67647494282,10390.79476466533,20144.56571108776,8809.142251772275,12946.113347873274,9492.099210091119,19049.93494518818,2865.313955254473,24312.95991937432,11503.707926720213,939.5325691273871,28837.988988107918,31798.00212882909,6882.625236417986,9319.648619473724,11887.741273928146,2505.309203017495,13604.340118147624,20974.45887601235,18781.46120269447,7734.1915906904915,16442.17029303058,4554.2913519674075,4331.913432812563,4913.521823460464,2288.5127583722833,6581.084416834936,7939.788499287644,31892.81223741936,16734.823213124808,7060.839944457118,17345.488382321102,8415.260370289872,2193.4393980374302
48526.575023384874,23067.834895285534,1360.2168013553362,31461.312039573582,10933.806647681851,5397.766190116337,13074.184981551141,4141.633747489189,4119.7424230411425,18797.497621980398,15929.613275444928,10726.819655852834,9416.013035381697,6713.310374696018,7771.740663896606,5437.17876893893,6402.14906352573,7306.655207828906,3536.4719866166433,8623.732419952928,2589.683102561982,1934.0715026798255,1209.8310756992948,2278.679207367492,7421.195696500371,2615.36980917028,1490.3210973341022,2013.0958109932972,572.081563523456,5650.305283903932,19891.85015249648,10188.422842034828,19754.949094363084,8705.443126935792,12584.95707714933,9250.101264687546,18715.49319092285,2842.1602521184363,24110.06871197368,11503.98479514943,920.2350797182115,28067.88503349271,31182.512702679065,6783.680238989029,9055.835389114372,11520.225372181754,2429.883199450981,13569.027690608684,18055.86510347776,16665.277072843466,7036.248735965735,14235.74658798832,4323.76766365815,3992.6649194285724,4467.602716964941,2017.152919501236,5848.1844727207235,7276.370684272235,27986.733097157237,14811.334774041698,6371.729778063298,15347.097007998316,7419.409260724616,2155.0934983783754
47683.267231466234,23028.91459867104,1352.438732113595,32411.794589892084,10951.352256335937,5432.0978188098115,13209.21169911892,4138.668822870355,4115.957026186898,19017.774660529423,15877.479530182269,11171.057670242093,9769.591038242737,6642.470755278444,7627.3850324687355,5318.809087767987,6311.375328645868,7133.8044786544015,3521.0043987669596,8580.428008868119,2582.8091325338323,1948.5031374987734,1218.6815397416522,2295.2491663051014,7481.813708042047,2635.522032228217,1500.1073934660303,2020.5338446776764,573.7484155520056,5766.092727797329,20260.398696921144,10211.220828796975,20086.594223612774,8816.376098801244,12485.501192611768,9373.360216340072,18841.85142187155,2898.3733104871753,25462.020667575638,11719.985791750723,912.6136891162986,27966.11161244303,31383.36000804472,6758.72510805374,8957.010875285496,11240.439625893217,2393.314720698426,13579.608548310922,14935.734452012319,14402.964643837495,6290.111019111929,11876.963292138107,4085.5220217105198,3629.990368833122,4081.696240231714,1656.5878591837713,4874.355353511421,6632.415095415011,23638.75842645731,14498.5420266346,6309.88030508574,13284.931793682474,7234.252547723397,2114.0997099660767
48243.09793994864,23054.75186981824,1357.602210914086,35223.268399069144,11026.896836790682,5605.137394018302,13677.19356700652,4243.511131003552,4274.460166729853,19661.970488320658,16065.820336177685,12000.140265309117,10535.150520629777,6678.2982533185905,7663.331830513952,5339.787041238607,6370.688110259453,7176.84700027129,3499.6111419618333,8511.835990521771,2579.9758472871404,1973.5321949836716,1234.0310657378925,2323.9867587122603,7586.944668954881,2670.4724120459978,1517.0799513498698,2033.4337677283925,576.6392684172215,5906.741697324373,20768.487562814058,10359.551514223727,20765.732071941457,8967.299928447857,12614.311307937465,9560.266390918068,19056.203149950215,2966.6562652860644,28039.09624392203,12215.257772725101,939.7634417041164,28315.616878559995,33182.80145728709,6857.975869964791,9185.362360778823,11317.394595757203,2422.0169920986145,13658.701439164446,14196.553946365682,13867.0072016527,6113.345840169999,11318.151235873023,4053.8127487423317,3544.0702625509757,4034.1308051043566,1581.6325717600553,4671.912991644784,6567.113507679497,22860.345466994684,14293.720028464175,6258.500650901382,12886.06329649818,7117.685264427793,2104.3879989914235
50824.88883982014,23173.906554507215,1381.4148069207233,38443.26436250118,11160.15877254305,6042.224676989582,14668.738062281775,4420.683061258626,4540.587103560388,21218.732018298324,16450.10653164562,12984.031081527175,12063.429961882766,6836.1770195535355,7789.818068855351,5453.514722789041,6519.7492482382995,7328.301003566685,3707.344712605975,9033.735871403067,2667.4159343266874,2140.1254434913126,1336.1974177174773,2515.2639955086324,8286.695694047283,2903.101926783654,1630.0491933895573,2119.2955727770363,595.8807670763425,6499.474684392681,22964.329012315688,11145.65432803526,22589.73630246311,9659.380800582388,13263.544932579192,10457.413372718627,20402.48060249319,3254.4191935186127,30789.443885494602,12644.132606109535,995.3108906591895,30173.839224059862,36589.13211092894,7081.018371443682,9691.72914159017,11679.000561424155,2513.374307996925,13808.256696139902,13692.660584556785,13501.649358302842,5992.8464476285035,10937.213579792657,4069.918040464318,3485.499222357906,4026.9790442828703,1534.7979007776828,4545.419966428723,6569.830680580653,22653.30782029002,14273.873511298441,6289.570322352791,12586.55517481139,7228.085377156695,2097.7676035077834
56489.79718804826,23435.35310047384,1433.6638790907457,40906.66873231345,11327.31691544031,6585.150115530941,16001.811122331637,4690.420236972619,4940.953838108982,23039.2429628436,17175.654968780047,13914.576709971214,13461.28948690551,7214.847529703058,8239.827479457079,5859.942886587541,6910.180802246436,7867.140076602883,4452.034379597659,10903.71050726723,2938.360683336979,2531.2131284807056,1576.0390810072101,2964.29882888061,9929.403363917076,3449.21372002297,1895.2512914752447,2320.861329925664,641.0513440254884,7697.34344747672,27361.51251817949,12280.453876274763,25365.880632167613,10914.65391885781,14903.46897868412,12038.036704406406,22495.349235250233,3835.966418227383,32903.43833431291,13035.393128126429,1100.4572375332086,32408.914542968487,39098.586947110685,7531.593175643347,10787.386076449155,12922.187863790328,2709.6774903703986,14007.100510756187,13692.950360815878,13501.859465580817,5992.915743712821,10937.432647909152,4168.174498257,3485.5329047904565,4122.445877901791,1526.2860813090626,4522.430890327217,6731.379894685451,23423.01458526911,14454.432825545944,6355.306823738,12856.197539084162,7462.209096624809,2097.7714105981822
59734.32640138372,23585.094446776897,1463.5891005288256,44378.41989169816,11455.62285842676,6909.179305532053,17131.764448332407,4908.3084240392855,5262.567399365034,24450.188179048317,17753.402415198903,14574.213965678318,14436.813029633962,7445.747243045069,8572.528406318155,6192.019112104937,7199.021614478944,8265.514543337284,5490.544974219977,13600.706755394001,3342.4042872030996,2910.905104844076,1808.8921186915559,3400.2494619642334,11524.244991592812,3979.4126354676687,2152.7257991965885,2516.5537631639004,684.9057181192699,8457.963146915623,30746.127856247374,13317.662172633385,27624.38825514744,11784.530971923292,16940.491150476224,13259.487327302037,24112.678435394893,4205.23581455065,35425.415515758104,13462.348526400703,1184.1768619471948,34347.21426421405,41483.64279920255,7969.152911149144,11723.427054671773,13862.184695773933,2848.577022453391,14135.765606770312,13999.320807745791,13723.999421948947,6066.180160109024,11169.045225039768,4331.615466732417,3521.1444797646786,4361.97128990279,1528.3456792311677,4527.9935358058065,7101.5759242133545,25196.763728720558,15404.034438523886,6644.147881983712,13273.695991967219,7931.6230266696375,2101.796653763499
63066.37259153778,23738.874868874933,1494.321516308401,48153.92873767922,11538.98341381616,7002.161128894116,17658.690096143127,5128.715879887518,5592.292426839107,25068.69934451338,18221.030216713963,14679.565345676328,14575.555449802041,7689.518517522466,8949.725657268866,6546.282423536903,7586.02381441551,8717.168691133687,5762.330705656383,14500.336077981525,3387.5692335368253,2928.5189649742438,1819.6941402856753,3420.473153094836,11598.22949023566,4004.0084931183183,2164.6700067970996,2525.6319090116294,686.9401166839859,8302.669591258658,30287.586563930712,13587.354799587116,28480.397792760185,11795.76703829356,18156.22833367292,13530.88705462618,24567.268842449277,4129.843135219266,37477.79551959893,13874.675423714996,1251.7555171070298,36075.26286608599,44581.25733996851,8246.167770225175,12509.133830963148,14780.149810172245,2995.5525327919822,14215.03801196777,15474.533208295563,14793.631343881425,6418.957570336456,12284.28902710502,4577.228641422141,3692.6187068823524,4911.308616064087,1630.08024103005,4802.762473512739,7683.408914105817,28869.70612600141,16458.82771024969,6934.521009746574,14611.17749053057,8369.949108136336,2121.1787096548187
66003.1677153815,23874.413680018537,1521.4084188046293,50981.79768177445,11554.433586459096,7114.439203605944,17903.869590425515,5188.734219978891,5683.244818020801,25061.88179737126,18401.408492785496,14523.526091662412,14462.960533018284,7899.775514431733,9257.59446741647,6813.555177644277,7902.484793426655,9085.809302318841,5618.997920826502,14294.160398154601,3324.838280431967,2872.9305075561383,1785.6035034850183,3356.6481990915963,11364.73815253479,3926.3852039969615,2126.974686537911,2496.9817371919266,680.5196570778585,8045.616156886556,29361.243762058235,13749.808879068927,28784.119293932847,11664.647046403245,18505.09029840683,13526.90893077029,24412.666999406003,4005.0475680474083,38965.33238771703,14212.154851883797,1277.9186392454083,37632.419856004766,47420.02483343433,8325.161767781863,12820.897484109079,15480.243851136687,3102.80806046192,14203.23641710983,17489.50889851421,16254.629316736391,6900.812188571019,13807.587740977986,4821.333045330421,3926.833387295357,5352.0068037191095,1753.3077240347272,5135.580389725822,8153.49041299151,33462.219852575785,17413.796852043597,7094.806762720343,16105.629886821005,8851.920523973113,2147.652436908245
