Resource,Zone,LDS,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Eff_Up,Eff_Down,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Resource_Type,region,cluster,VRE_Trans_Cost_per_MWyr,CCS_Rate,MGA,Can_Retire
ERC_REST_conventional_hydroelectric_1,1,0,0,483.9,0.0,0,0.0,46475.0,0.0,8.779,None,19.356,0.0,0.0,0.083,0.083,0,0.0069,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,ERC_REST,1,0.0,0.0,1,0
FRCC_conventional_hydroelectric_1,4,0,0,43.5,0.0,0,0.0,46475.0,0.0,8.773,None,14.5,0.0,0.0,0.083,0.083,0,0.2189,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,FRCC,1,0.0,0.0,1,0
MIS_AR_conventional_hydroelectric_1,16,0,0,214.101,0.0,0,0.0,46475.0,0.0,8.773,None,23.789,0.0,0.0,0.083,0.083,0,0.0689,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_AR,1,0.0,0.0,1,0
MIS_IA_conventional_hydroelectric_1,8,0,0,1.0,0.0,0,0.0,46475.0,0.0,9.21,None,1.0,0.0,0.0,0.083,0.083,0,0.0,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_IA,1,0.0,0.0,1,0
MIS_INKY_conventional_hydroelectric_1,7,0,0,214.596,0.0,0,0.0,46475.0,0.0,8.773,None,23.844,0.0,0.0,0.083,0.083,0,0.265,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_INKY,1,0.0,0.0,1,0
MIS_LA_conventional_hydroelectric_1,18,0,0,429.0,0.0,0,0.0,46475.0,0.0,8.969,None,19.5,0.0,0.0,0.083,0.083,0,0.056,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_LA,1,0.0,0.0,1,0
MIS_LMI_conventional_hydroelectric_1,10,0,0,32.5,0.0,0,0.0,46475.0,0.0,8.774,None,8.125,0.0,0.0,0.083,0.083,0,0.0,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_LMI,1,0.0,0.0,1,0
MIS_MIDA_conventional_hydroelectric_1,9,0,0,55.0,0.0,0,0.0,46475.0,0.0,8.773,None,27.5,0.0,0.0,0.083,0.083,0,0.0,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_MIDA,1,0.0,0.0,1,0
MIS_MNWI_conventional_hydroelectric_1,13,0,0,83.3,0.0,0,0.0,46475.0,0.0,8.81,None,8.33,0.0,0.0,0.083,0.083,0,0.036,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_MNWI,1,0.0,0.0,1,0
MIS_MO_conventional_hydroelectric_1,11,0,0,380.006,0.0,0,0.0,46475.0,0.0,8.773,None,16.522,0.0,0.0,0.083,0.083,0,0.0,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_MO,1,0.0,0.0,1,0
MIS_WOTA_conventional_hydroelectric_1,14,0,0,132.0,0.0,0,0.0,46475.0,0.0,8.773,None,33.0,0.0,0.0,0.083,0.083,0,0.0033,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_WOTA,1,0.0,0.0,1,0
MIS_WUMS_conventional_hydroelectric_1,12,0,0,63.903,0.0,0,0.0,46475.0,0.0,8.807,None,3.759,0.0,0.0,0.083,0.083,0,0.1,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,MIS_WUMS,1,0.0,0.0,1,0
NENGREST_conventional_hydroelectric_1,20,0,0,689.99,0.0,0,0.0,46475.0,0.0,8.778,None,9.857,0.0,0.0,0.083,0.083,0,0.1169,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,NENGREST,1,0.0,0.0,1,0
NENG_CT_conventional_hydroelectric_1,19,0,0,42.6,0.0,0,0.0,46475.0,0.0,8.773,None,42.6,0.0,0.0,0.083,0.083,0,0.1804,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,NENG_CT,1,0.0,0.0,1,0
NENG_ME_conventional_hydroelectric_1,21,0,0,354.576,0.0,0,0.0,46475.0,0.0,8.78,None,7.387,0.0,0.0,0.083,0.083,0,0.371,1.0,1.0,0.0,0.0,0,0,Conventional Hydroelectric,NENG_ME,1,0.0,0.0,1,0
