Resource,Zone,Model,LDS,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Resource_Type,region,cluster,VRE_Trans_Cost_per_MWyr,CCS_Rate,MGA,Can_Retire
ERC_REST_natural_gas_fired_combined_cycle_1,1,1,0,0,13281.507,0.0,0,0.0,9668.0,3.567,7.293,west_south_central_reference_naturalgas,457.983,90.959,2.0,6,6,1.0,1.0,0.447,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,ERC_REST,1,0.0,0.0,1,1
ERC_REST_natural_gas_fired_combined_cycle_2,1,1,0,0,3524.906,0.0,0,0.0,16291.0,4.495,8.975,west_south_central_reference_naturalgas,251.779,90.959,2.0,6,6,1.0,1.0,0.475,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,ERC_REST,2,0.0,0.0,1,1
ERC_REST_natural_gas_fired_combined_cycle_3,1,1,0,0,14390.01,0.0,0,0.0,12182.0,3.515,7.343,west_south_central_reference_naturalgas,479.667,90.959,2.0,6,6,1.0,1.0,0.445,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,ERC_REST,3,0.0,0.0,1,1
ERC_REST_natural_gas_fired_combined_cycle_4,1,1,0,0,3481.3,0.0,0,0.0,10538.184,3.549,10.543,west_south_central_reference_naturalgas,696.26,90.959,2.0,6,6,1.0,1.0,0.555,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,ERC_REST,4,0.0,0.0,1,1
ERC_REST_natural_gas_fired_combustion_turbine_1,1,1,0,0,3640.896,0.0,0,0.0,10513.718,5.06,11.011,west_south_central_reference_naturalgas,56.889,117.941,3.5,1,1,1.0,1.0,0.446,0.63,1.26,0,0,Natural Gas Fired Combustion Turbine,ERC_REST,1,0.0,0.0,1,1
ERC_REST_natural_gas_fired_combustion_turbine_2,1,1,0,0,908.3,0.0,0,0.0,13830.0,5.06,10.288,west_south_central_reference_naturalgas,36.332,117.941,3.5,1,1,1.0,1.0,0.493,0.63,1.26,0,0,Natural Gas Fired Combustion Turbine,ERC_REST,2,0.0,0.0,1,1
ERC_REST_nuclear_1,1,1,0,0,2660.0,0.0,0,0.0,190920.0,0.0,10.446,west_south_central_reference_uranium,1330.0,1000.0,0.0,24,24,0.25,0.25,0.5,0.041666667,0.083333333,0,0,Nuclear,ERC_REST,1,0.0,0.0,1,1
ERC_REST_nuclear_2,1,1,0,0,2460.0,0.0,0,0.0,190920.0,0.0,10.446,west_south_central_reference_uranium,1230.0,1000.0,0.0,24,24,0.25,0.25,0.5,0.041666667,0.083333333,0,0,Nuclear,ERC_REST,2,0.0,0.0,1,1
ERC_WEST_natural_gas_fired_combined_cycle_1,2,1,0,0,1462.398,0.0,0,0.0,9668.0,3.567,6.41,west_south_central_reference_naturalgas,243.733,90.959,2.0,6,6,1.0,1.0,0.3,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,ERC_WEST,1,0.0,0.0,1,1
ERC_WEST_natural_gas_fired_combined_cycle_2,2,1,0,0,532.2,0.0,0,0.0,9668.0,3.567,8.512,west_south_central_reference_naturalgas,266.1,90.959,2.0,6,6,1.0,1.0,0.631,0.106666667,0.213333333,0,0,Natural Gas Fired Combined Cycle,ERC_WEST,2,0.0,0.0,1,1
