Resource,Zone,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Resource_Type,region,cluster,VRE_Trans_Cost_per_MWyr,CCS_Rate,MGA,Can_Retire
ERC_PHDL_onshore_wind_turbine_1,3,0,1,0,588.0,0.0,0,0.0,0.0,0.0,8.773,None,294.0,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,ERC_PHDL,1,0.0,0.0,1,1
ERC_REST_onshore_wind_turbine_1,1,0,1,0,2812.8,0.0,0,0.0,0.0,0.0,9.21,None,234.4,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,ERC_REST,1,0.0,0.0,1,1
ERC_REST_solar_photovoltaic_1,1,0,1,0,6563.28,0.0,0,0.0,0.0,0.0,9.192,None,82.041,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,ERC_REST,1,0.0,0.0,1,1
ERC_WEST_onshore_wind_turbine_1,2,0,1,0,4276.202,0.0,0,0.0,0.0,0.0,9.21,None,305.443,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,ERC_WEST,1,0.0,0.0,1,1
ERC_WEST_solar_photovoltaic_1,2,0,1,0,7375.778,0.0,0,0.0,0.0,0.0,9.149,None,160.343,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,ERC_WEST,1,0.0,0.0,1,1
FRCC_solar_photovoltaic_1,4,0,1,0,5448.119,0.0,0,0.0,0.0,0.0,9.139,None,50.917,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,FRCC,1,0.0,0.0,1,1
MIS_AMSO_solar_photovoltaic_1,15,0,1,0,94.5,0.0,0,0.0,0.0,0.0,9.21,None,15.75,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_AMSO,1,0.0,0.0,1,1
MIS_AR_solar_photovoltaic_1,16,0,1,0,380.0,0.0,0,0.0,0.0,0.0,9.117,None,47.5,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_AR,1,0.0,0.0,1,1
MIS_D_MS_solar_photovoltaic_1,17,0,1,0,209.199,0.0,0,0.0,0.0,0.0,8.982,None,69.733,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_D_MS,1,0.0,0.0,1,1
MIS_IA_onshore_wind_turbine_1,8,0,1,0,329.4,0.0,0,0.0,0.0,0.0,9.202,None,65.88,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,MIS_IA,1,0.0,0.0,1,1
MIS_IA_solar_photovoltaic_1,8,0,1,0,191.696,0.0,0,0.0,0.0,0.0,9.197,None,23.962,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_IA,1,0.0,0.0,1,1
MIS_IL_onshore_wind_turbine_1,6,0,1,0,531.501,0.0,0,0.0,0.0,0.0,9.21,None,177.167,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,MIS_IL,1,0.0,0.0,1,1
MIS_IL_solar_photovoltaic_1,6,0,1,0,758.907,0.0,0,0.0,0.0,0.0,9.21,None,20.511,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_IL,1,0.0,0.0,1,1
MIS_INKY_onshore_wind_turbine_1,7,0,1,0,302.4,0.0,0,0.0,0.0,0.0,9.21,None,302.4,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,MIS_INKY,1,0.0,0.0,1,1
MIS_INKY_solar_photovoltaic_1,7,0,1,0,491.368,0.0,0,0.0,0.0,0.0,9.062,None,7.226,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_INKY,1,0.0,0.0,1,1
MIS_LA_solar_photovoltaic_1,18,0,1,0,50.0,0.0,0,0.0,0.0,0.0,9.21,None,50.0,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_LA,1,0.0,0.0,1,1
MIS_LMI_onshore_wind_turbine_1,10,0,1,0,533.5,0.0,0,0.0,0.0,0.0,9.21,None,266.75,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,MIS_LMI,1,0.0,0.0,1,1
MIS_LMI_solar_photovoltaic_1,10,0,1,0,624.0,0.0,0,0.0,0.0,0.0,9.162,None,16.0,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_LMI,1,0.0,0.0,1,1
MIS_MAPP_onshore_wind_turbine_1,5,0,1,0,173.6,0.0,0,0.0,0.0,0.0,9.16,None,86.8,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,MIS_MAPP,1,0.0,0.0,1,1
MIS_MIDA_onshore_wind_turbine_1,9,0,1,0,587.0,0.0,0,0.0,0.0,0.0,9.132,None,146.75,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,MIS_MIDA,1,0.0,0.0,1,1
MIS_MIDA_solar_photovoltaic_1,9,0,1,0,143.199,0.0,0,0.0,0.0,0.0,9.202,None,15.911,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_MIDA,1,0.0,0.0,1,1
MIS_MNWI_onshore_wind_turbine_1,13,0,1,0,400.0,0.0,0,0.0,0.0,0.0,9.21,None,200.0,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,MIS_MNWI,1,0.0,0.0,1,1
MIS_MNWI_solar_photovoltaic_1,13,0,1,0,1143.102,0.0,0,0.0,0.0,0.0,9.054,None,1.803,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_MNWI,1,0.0,0.0,1,1
MIS_MO_solar_photovoltaic_1,11,0,1,0,17.703,0.0,0,0.0,0.0,0.0,8.985,None,2.529,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_MO,1,0.0,0.0,1,1
MIS_WUMS_onshore_wind_turbine_1,12,0,1,0,72.8,0.0,0,0.0,0.0,0.0,9.21,None,72.8,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,MIS_WUMS,1,0.0,0.0,1,1
MIS_WUMS_solar_photovoltaic_1,12,0,1,0,629.902,0.0,0,0.0,0.0,0.0,9.205,None,24.227,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,MIS_WUMS,1,0.0,0.0,1,1
NENGREST_solar_photovoltaic_1,20,0,1,0,1547.348,0.0,0,0.0,0.0,0.0,9.049,None,2.783,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,NENGREST,1,0.0,0.0,1,1
NENG_CT_solar_photovoltaic_1,19,0,1,0,327.874,0.0,0,0.0,0.0,0.0,9.146,None,5.653,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,NENG_CT,1,0.0,0.0,1,1
NENG_ME_onshore_wind_turbine_1,21,0,1,0,15.3,0.0,0,0.0,0.0,0.0,9.21,None,15.3,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,NENG_ME,1,0.0,0.0,1,1
NENG_ME_solar_photovoltaic_1,21,0,1,0,325.299,0.0,0,0.0,0.0,0.0,9.208,None,17.121,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,NENG_ME,1,0.0,0.0,1,1
NY_Z_A_onshore_wind_turbine_1,27,0,1,0,124.0,0.0,0,0.0,0.0,0.0,9.21,None,124.0,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,NY_Z_A,1,0.0,0.0,1,1
NY_Z_A_solar_photovoltaic_1,27,0,1,0,83.511,0.0,0,0.0,0.0,0.0,9.191,None,3.093,0.0,0.0,0.0,0.0,0,0,Solar Photovoltaic,NY_Z_A,1,0.0,0.0,1,1
NY_Z_B_onshore_wind_turbine_1,28,0,1,0,340.0,0.0,0,0.0,0.0,0.0,9.21,None,340.0,0.0,0.0,0.0,0.0,0,0,Onshore Wind Turbine,NY_Z_B,1,0.0,0.0,1,1
