elec_demand_SE,elec_demand_MIDAT,elec_demand_NE
85107.0,69584.0,38672.0
81088.0,67617.0,37540.0
80049.0,67714.0,37547.0
80013.0,67701.0,37418.0
82646.0,71004.0,39549.0
92216.0,79789.0,44578.0
97457.0,82796.0,46529.0
107367.0,90046.0,50651.0
115952.0,92721.0,52009.0
122596.0,95861.0,53842.0
125155.0,93904.0,52635.0
128580.0,95516.0,53614.0
129802.0,94635.0,53150.0
126979.0,90332.0,50722.0
126331.0,90396.0,50866.0
131200.0,94758.0,53787.0
136648.0,99213.0,56705.0
139817.0,99041.0,56160.0
138121.0,97675.0,55334.0
129216.0,90467.0,51153.0
118674.0,84885.0,47922.0
108031.0,78146.0,43675.0
98462.0,73146.0,40308.0
92429.0,74169.0,37808.0
88864.0,70843.0,35664.0
85577.0,68878.0,34650.0
85212.0,69375.0,35130.0
85742.0,69423.0,35128.0
88309.0,71478.0,36114.0
96817.0,79040.0,40430.0
106360.0,85803.0,44086.0
118027.0,95280.0,49824.0
127399.0,99414.0,52780.0
133297.0,102137.0,54726.0
135775.0,100262.0,54468.0
138488.0,102327.0,55798.0
139664.0,101427.0,55506.0
136588.0,97135.0,53197.0
135699.0,97614.0,53597.0
140723.0,102427.0,56934.0
147384.0,108058.0,60441.0
151441.0,107824.0,60371.0
149355.0,106183.0,59319.0
140908.0,99652.0,55096.0
131423.0,95034.0,52072.0
122009.0,89649.0,48366.0
113359.0,85040.0,45102.0
116294.0,89726.0,45031.0
117812.0,90183.0,45080.0
119240.0,90367.0,44757.0
122751.0,92331.0,45770.0
127962.0,95842.0,47633.0
138397.0,105557.0,53122.0
172286.0,140338.0,70084.0
195489.0,151425.0,79587.0
197183.0,147961.0,78272.0
185925.0,135178.0,71343.0
184543.0,138317.0,73545.0
182796.0,135509.0,72763.0
180547.0,134058.0,72508.0
177007.0,131409.0,71231.0
174862.0,130704.0,71298.0
178471.0,134488.0,73944.0
188557.0,143016.0,79650.0
205107.0,155606.0,87283.0
199270.0,144362.0,80692.0
177293.0,128801.0,71403.0
164530.0,123421.0,68118.0
152335.0,110824.0,59143.0
141173.0,103468.0,54462.0
132471.0,98057.0,50890.0
124531.0,92204.0,47773.0
122710.0,91790.0,47506.0
123259.0,91429.0,47037.0
125386.0,92496.0,47808.0
129214.0,95218.0,49427.0
139026.0,104056.0,54762.0
173073.0,136728.0,71782.0
192873.0,147756.0,80864.0
191784.0,144633.0,79476.0
178617.0,132990.0,72485.0
176244.0,135944.0,74663.0
174318.0,133053.0,73241.0
171859.0,131831.0,72815.0
168444.0,128996.0,71435.0
166798.0,128821.0,71455.0
170860.0,133115.0,74172.0
181471.0,141963.0,79986.0
197917.0,153793.0,87584.0
192472.0,142268.0,80700.0
170728.0,127321.0,71799.0
157124.0,121941.0,68506.0
145339.0,109384.0,59132.0
134779.0,102033.0,54403.0
125795.0,96500.0,51088.0
122847.0,93609.0,47963.0
122364.0,93469.0,47577.0
123158.0,93181.0,47080.0
125591.0,94635.0,47794.0
129947.0,97723.0,49295.0
140351.0,107154.0,54532.0
174180.0,143079.0,71867.0
193369.0,154278.0,81289.0
193307.0,150279.0,80060.0
181524.0,137674.0,73124.0
179496.0,140421.0,75413.0
177594.0,137361.0,74281.0
176032.0,136188.0,73830.0
173022.0,133412.0,72519.0
171511.0,132688.0,72483.0
175805.0,137195.0,75642.0
186378.0,146201.0,82030.0
202788.0,158747.0,89905.0
196126.0,147278.0,83219.0
173687.0,132586.0,74357.0
159671.0,128079.0,71432.0
147125.0,114501.0,61789.0
135650.0,106180.0,56907.0
126125.0,100622.0,53302.0
119504.0,97143.0,52722.0
118093.0,97009.0,52292.0
118436.0,96416.0,51377.0
120245.0,97717.0,51935.0
124075.0,100874.0,53520.0
134048.0,110378.0,59030.0
167305.0,148122.0,79424.0
186342.0,159781.0,88983.0
186519.0,154876.0,86662.0
174333.0,141233.0,78410.0
172911.0,143354.0,79444.0
171562.0,139419.0,77624.0
169462.0,137686.0,76670.0
166097.0,134558.0,74855.0
164790.0,133779.0,74328.0
169040.0,138136.0,76806.0
179641.0,147505.0,83088.0
195598.0,160805.0,91963.0
190244.0,149441.0,85378.0
168098.0,134526.0,76706.0
154497.0,130102.0,74231.0
143074.0,116300.0,63942.0
132372.0,107638.0,58348.0
123373.0,101905.0,54536.0
117735.0,97539.0,51577.0
116494.0,97210.0,51122.0
117292.0,96456.0,50250.0
119954.0,97778.0,50710.0
124584.0,100846.0,52191.0
135198.0,110298.0,57470.0
168683.0,150223.0,78163.0
187359.0,162434.0,87689.0
188640.0,157166.0,85230.0
176815.0,143301.0,76993.0
175518.0,145305.0,78354.0
173802.0,141547.0,76707.0
171709.0,139873.0,75627.0
167985.0,136886.0,73676.0
166320.0,136032.0,73302.0
170699.0,140359.0,75877.0
181125.0,149747.0,81920.0
196834.0,163204.0,90410.0
190857.0,152030.0,83803.0
169102.0,137103.0,75236.0
155547.0,132696.0,72606.0
144161.0,118512.0,62561.0
134226.0,109939.0,57462.0
126203.0,104453.0,53922.0
116273.0,97156.0,51786.0
110182.0,93460.0,49369.0
107948.0,91534.0,48111.0
108547.0,91861.0,48059.0
109864.0,91880.0,47889.0
113747.0,96815.0,50715.0
126600.0,106701.0,56157.0
132423.0,116067.0,62390.0
141350.0,125264.0,68077.0
148906.0,127385.0,69220.0
155210.0,129157.0,70084.0
155264.0,124285.0,67398.0
157208.0,125606.0,68350.0
156732.0,123906.0,67217.0
152165.0,118786.0,64254.0
151848.0,119130.0,64403.0
157957.0,125151.0,68003.0
166622.0,133356.0,72611.0
169212.0,128154.0,69481.0
168331.0,127133.0,68645.0
160652.0,121072.0,64758.0
153163.0,116751.0,62029.0
145372.0,109784.0,57434.0
139419.0,105297.0,54104.0
137805.0,100617.0,50715.0
136654.0,97040.0,48389.0
135812.0,94971.0,47231.0
137109.0,95270.0,47202.0
139110.0,95084.0,46911.0
143144.0,97622.0,48089.0
157612.0,105761.0,52103.0
165941.0,115259.0,58158.0
174055.0,125143.0,64105.0
178976.0,127322.0,66050.0
183077.0,129155.0,67133.0
178226.0,124465.0,64669.0
176983.0,125439.0,65637.0
175017.0,123449.0,64662.0
168993.0,117984.0,61891.0
167153.0,118573.0,62097.0
172124.0,124426.0,65510.0
181742.0,132216.0,70079.0
181976.0,128702.0,68491.0
179194.0,125786.0,67078.0
171580.0,119628.0,63055.0
163244.0,115089.0,59996.0
156173.0,109812.0,56623.0
149903.0,104900.0,53457.0
148727.0,103396.0,50255.0
149519.0,102823.0,49710.0
149643.0,102175.0,49055.0
151424.0,103206.0,49710.0
155522.0,106195.0,51341.0
165431.0,116121.0,56914.0
210982.0,162746.0,79379.0
233723.0,174734.0,88336.0
227519.0,167145.0,85727.0
209635.0,151475.0,77815.0
207551.0,152333.0,79217.0
203229.0,148421.0,77720.0
199119.0,146308.0,77053.0
194507.0,142391.0,75172.0
191191.0,140991.0,74813.0
193662.0,145167.0,77519.0
202984.0,154265.0,83427.0
220337.0,167786.0,91604.0
213997.0,156099.0,84963.0
191967.0,139929.0,76272.0
178636.0,135080.0,73505.0
165916.0,120372.0,63020.0
154996.0,111699.0,57872.0
146907.0,106270.0,54548.0
138733.0,103721.0,53599.0
136218.0,103142.0,53067.0
136503.0,102198.0,52100.0
138480.0,103320.0,52628.0
142436.0,106367.0,54199.0
152266.0,116047.0,59906.0
200705.0,160138.0,81608.0
221532.0,172052.0,91364.0
214248.0,165270.0,88681.0
199447.0,150047.0,80030.0
199180.0,151317.0,80761.0
196623.0,147374.0,78743.0
194052.0,145172.0,77931.0
190205.0,141052.0,75892.0
188261.0,139856.0,75352.0
192076.0,143779.0,77621.0
202403.0,152977.0,83698.0
219414.0,166689.0,92767.0
212859.0,155127.0,86109.0
191819.0,139454.0,77453.0
179640.0,134718.0,74912.0
167134.0,120268.0,64279.0
156469.0,111224.0,58805.0
148909.0,105601.0,54806.0
146722.0,101751.0,52178.0
147679.0,101331.0,51702.0
148839.0,100445.0,50725.0
151496.0,101490.0,51135.0
156835.0,104503.0,52550.0
168929.0,114039.0,57905.0
218625.0,155836.0,78405.0
239189.0,167197.0,87661.0
232077.0,161460.0,85374.0
216658.0,147117.0,77324.0
214770.0,148654.0,78575.0
209525.0,145048.0,76831.0
205427.0,142961.0,76039.0
200275.0,139263.0,74309.0
196858.0,138230.0,73934.0
200567.0,142388.0,76336.0
211742.0,151461.0,82456.0
230996.0,164679.0,91130.0
225241.0,153365.0,84528.0
204263.0,137887.0,75884.0
192287.0,133307.0,73282.0
179786.0,119231.0,62955.0
168936.0,110286.0,57536.0
161779.0,104863.0,53937.0
160498.0,101549.0,51309.0
162104.0,101209.0,50699.0
164621.0,100490.0,49813.0
168364.0,101706.0,50379.0
174654.0,104742.0,51878.0
187236.0,114287.0,57356.0
239628.0,156199.0,78150.0
261753.0,168311.0,87744.0
248656.0,162235.0,85781.0
226950.0,147920.0,78137.0
222702.0,149360.0,79415.0
214197.0,145296.0,78184.0
207422.0,143198.0,77496.0
200374.0,139526.0,76085.0
195749.0,138442.0,75924.0
198310.0,142790.0,78715.0
208656.0,152108.0,84994.0
228251.0,165651.0,93566.0
223030.0,154777.0,87099.0
203072.0,139560.0,78324.0
191790.0,135249.0,75774.0
179867.0,121025.0,65287.0
169828.0,111917.0,59561.0
163450.0,106524.0,55964.0
161953.0,104582.0,54818.0
164345.0,104709.0,53954.0
167179.0,103979.0,52803.0
171161.0,105195.0,53408.0
177413.0,108117.0,55110.0
189990.0,117693.0,61061.0
246845.0,161084.0,85545.0
267582.0,173551.0,96831.0
246964.0,166069.0,93679.0
220064.0,149728.0,84349.0
213618.0,150091.0,84050.0
203632.0,145112.0,82371.0
195909.0,142077.0,81512.0
188314.0,137746.0,79595.0
183064.0,135676.0,78906.0
184513.0,139172.0,81059.0
193482.0,148352.0,87358.0
211926.0,162813.0,96735.0
207198.0,151305.0,90337.0
187194.0,136323.0,81030.0
175838.0,131584.0,78533.0
164538.0,117486.0,67294.0
154826.0,108908.0,61521.0
148211.0,103232.0,57514.0
141103.0,94773.0,54567.0
136400.0,91159.0,52015.0
135967.0,88995.0,50740.0
137802.0,88919.0,50610.0
140160.0,88629.0,50377.0
145188.0,92621.0,53534.0
171555.0,102468.0,59162.0
177316.0,109660.0,66241.0
171654.0,117888.0,72037.0
167487.0,119844.0,73012.0
168231.0,121597.0,73384.0
160120.0,116403.0,70589.0
156336.0,117461.0,71351.0
152202.0,115317.0,70281.0
144475.0,110100.0,67111.0
141197.0,110340.0,66865.0
144652.0,115447.0,70408.0
153313.0,122226.0,75611.0
155312.0,118524.0,72004.0
154774.0,117755.0,71173.0
148186.0,111276.0,67507.0
140642.0,106948.0,64788.0
133041.0,100339.0,59793.0
127256.0,96271.0,56105.0
122043.0,92563.0,50965.0
118454.0,88833.0,48241.0
116800.0,86796.0,46807.0
117668.0,86981.0,46733.0
119175.0,86774.0,46552.0
122550.0,88889.0,47884.0
140033.0,97065.0,52512.0
144485.0,104980.0,59311.0
147088.0,113954.0,65782.0
149829.0,117295.0,68470.0
152673.0,119413.0,69721.0
148295.0,115286.0,67769.0
147109.0,116625.0,69221.0
145309.0,114618.0,68727.0
139270.0,109875.0,66060.0
136983.0,110435.0,66622.0
140867.0,115966.0,70219.0
148322.0,123177.0,74426.0
151167.0,120745.0,72762.0
150005.0,118800.0,71109.0
142455.0,112454.0,67163.0
134083.0,107915.0,64151.0
126335.0,102921.0,60925.0
120000.0,98738.0,57526.0
120812.0,98755.0,54398.0
122769.0,98908.0,53619.0
123907.0,98281.0,52782.0
126527.0,99729.0,53378.0
130928.0,102262.0,54670.0
139930.0,109263.0,58691.0
166774.0,128783.0,69454.0
183681.0,144179.0,80061.0
186456.0,145731.0,81862.0
176997.0,134519.0,75866.0
176351.0,137916.0,77337.0
174471.0,134402.0,75958.0
172205.0,132230.0,75222.0
168273.0,128591.0,73404.0
166027.0,127069.0,72768.0
169591.0,130747.0,74868.0
179281.0,139131.0,80418.0
195150.0,152118.0,88944.0
188559.0,139299.0,81412.0
165776.0,121981.0,70755.0
151130.0,115969.0,67220.0
142191.0,110768.0,63892.0
132521.0,105054.0,60073.0
123797.0,98936.0,55974.0
118547.0,95610.0,53046.0
116736.0,95225.0,52392.0
117178.0,94594.0,51524.0
119028.0,95363.0,51967.0
123048.0,97943.0,53348.0
133019.0,107001.0,58864.0
