MIDAT_conventional_hydroelectric_1,NE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1
0.301496237,0.586697471,0.326796714
0.301845714,0.586902923,0.327314811
0.302221382,0.587092718,0.327827462
0.302595287,0.587303459,0.328276133
0.302937768,0.587498992,0.328761112
0.303355076,0.587694525,0.329275061
0.303712307,0.587870288,0.329756544
0.30407926,0.588093418,0.330241523
0.304437407,0.588289597,0.330718858
0.304804361,0.588472095,0.331204143
0.305221713,0.58866189,0.331716794
0.305564195,0.58885574,0.332197971
0.305931148,0.589068164,0.332683256
0.306280581,0.589264344,0.333197205
0.306656248,0.589429951,0.333645876
0.307073601,0.589647342,0.334159825
0.307430787,0.589860412,0.334641002
0.307797741,0.590035293,0.335126287
0.308147173,0.590231472,0.335638938
0.308522841,0.590465754,0.336087303
0.308915721,0.590631362,0.336601558
0.309282675,0.590827541,0.337119349
0.30965658,0.591039965,0.33756802
0.309999061,0.591227431,0.338081969
0.310366059,0.59142361,0.338530334
0.310767609,0.591636034,0.339044589
0.311149267,0.591802288,0.339561082
0.311523172,0.592019679,0.340009447
0.311865654,0.592232103,0.340523702
0.312232652,0.592398357,0.341008681
0.312625488,0.59259389,0.341486016
0.313001155,0.592811927,0.342004113
0.313350588,0.592994425,0.342489092
0.313717542,0.593199231,0.342966733
0.314091491,0.593395411,0.343450414
0.314477376,0.593599767,0.34392775
0.314859034,0.593795947,0.344445846
0.31521718,0.59399148,0.344930825
0.315585844,0.594173978,0.34540816
0.315959793,0.594390372,0.345893445
0.316345678,0.59455598,0.346378424
0.316712632,0.59476905,0.346888571
0.317062065,0.594964583,0.347372558
0.317437776,0.595152048,0.347849894
0.317787209,0.595365119,0.348335178
0.318154163,0.595560652,0.348820157
0.318579225,0.595726259,0.349330304
0.318928657,0.595944297,0.349815589
0.319295655,0.596156721,0.350329538
0.319653801,0.596332247,0.350777903
0.320020755,0.59652778,0.35126189
0.320438063,0.596762062,0.351772037
0.320780545,0.596928316,0.352257322
0.321147543,0.597123849,0.352771271
0.321496975,0.597336919,0.353219636
0.321872643,0.597524385,0.353704921
0.322280184,0.597719918,0.354251682
0.322647182,0.597932988,0.354700047
0.323014135,0.598098596,0.355213005
0.323363568,0.598316633,0.35566137
0.323730522,0.598529057,0.356146348
0.324132072,0.598694665,0.356693415
0.32449907,0.598890844,0.35714178
0.324872974,0.599108235,0.357656036
0.325215456,0.59929138,0.358141014
