Resource,Zone,Model,LDS,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,NG_MMBtu_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Start_NG_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MGA,Resource_Type,region,cluster,LDS.1,CCS_Rate,Can_Retire
MIDAT_natural_gas_fired_combined_cycle_1,2,1,0,0,4026.4,0.0,0,0.0,16001.0,4.415,0,7.676,MIDAT_reference_naturalgas,0,125.825,89.34,2.0,0,6,6,0.64,0.64,0.444,0,0,0,0,0,0,natural_gas_fired_combined_cycle,MIDAT,1,0,0.0,1
MIDAT_natural_gas_fired_combined_cycle_2,2,1,0,0,31802.922,0.0,0,0.0,11965.0,3.452,0,6.833,MIDAT_reference_naturalgas,0,588.943,89.34,2.0,0,6,6,0.64,0.64,0.38,0,0,0,0,0,0,natural_gas_fired_combined_cycle,MIDAT,2,0,0.0,1
MIDAT_natural_gas_fired_combined_cycle_3,2,1,0,0,1697.696,0.0,0,0.0,11069.135,3.505,0,12.279,MIDAT_reference_naturalgas,0,212.212,89.34,2.0,0,6,6,0.64,0.64,0.217,0,0,0,0,0,0,natural_gas_fired_combined_cycle,MIDAT,3,0,0.0,1
MIDAT_natural_gas_fired_combined_cycle_4,2,1,0,0,20288.499,0.0,0,0.0,9496.0,3.504,0,7.17,MIDAT_reference_naturalgas,0,614.803,89.34,2.0,0,6,6,0.64,0.64,0.39,0,0,0,0,0,0,natural_gas_fired_combined_cycle,MIDAT,4,0,0.0,1
MIDAT_natural_gas_fired_combustion_turbine_1,2,1,0,0,14508.75,0.0,0,0.0,9573.46,5.071,0,11.751,MIDAT_reference_naturalgas,0,116.07,115.842,3.5,0,1,1,0.64,0.64,0.505,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,MIDAT,1,0,0.0,1
MIDAT_natural_gas_fired_combustion_turbine_2,2,1,0,0,704.718,0.0,0,0.0,13548.0,5.071,0,10.251,MIDAT_reference_naturalgas,0,14.994,115.842,3.5,0,1,1,0.64,0.64,0.403,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,MIDAT,2,0,0.0,1
MIDAT_nuclear_1,2,1,0,0,2440.0,0.0,0,0.0,266980.0,2.352,0,10.455,MIDAT_reference_uranium,0,1220.0,1000.0,0.0,0,36,36,0.25,0.25,0.5,0,0,0,0,0,0,nuclear,MIDAT,1,0,0.0,1
MIDAT_nuclear_2,2,1,0,0,17770.208,0.0,0,0.0,187522.0,2.352,0,10.455,MIDAT_reference_uranium,0,1110.638,1000.0,0.0,0,36,36,0.25,0.25,0.5,0,0,0,0,0,0,nuclear,MIDAT,2,0,0.0,1
NE_natural_gas_fired_combined_cycle_1,3,1,0,0,6119.616,0.0,0,0.0,16001.0,4.415,0,8.571,NE_reference_naturalgas,0,127.492,89.34,2.0,0,6,6,0.64,0.64,0.526,0,0,0,0,0,0,natural_gas_fired_combined_cycle,NE,1,0,0.0,1
NE_natural_gas_fired_combined_cycle_2,3,1,0,0,21225.12,0.0,0,0.0,10223.482,3.488,0,7.663,NE_reference_naturalgas,0,442.19,89.34,2.0,0,6,6,0.64,0.64,0.409,0,0,0,0,0,0,natural_gas_fired_combined_cycle,NE,2,0,0.0,1
NE_natural_gas_fired_combined_cycle_3,3,1,0,0,19.5,0.0,0,0.0,16001.0,4.415,0,19.881,NE_reference_naturalgas,0,19.5,89.34,2.0,0,6,6,0.64,0.64,0.472,0,0,0,0,0,0,natural_gas_fired_combined_cycle,NE,3,0,0.0,1
NE_natural_gas_fired_combustion_turbine_1,3,1,0,0,1413.201,0.0,0,0.0,13548.0,5.071,0,11.332,NE_reference_naturalgas,0,24.793,115.842,3.5,0,1,1,0.64,0.64,0.39,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,NE,1,0,0.0,1
NE_natural_gas_fired_combustion_turbine_2,3,1,0,0,2341.199,0.0,0,0.0,9896.045,5.071,0,10.089,NE_reference_naturalgas,0,80.731,115.842,3.5,0,1,1,0.64,0.64,0.367,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,NE,2,0,0.0,1
NE_nuclear_1,3,1,0,0,3395.7,0.0,0,0.0,187522.0,2.352,0,10.455,NE_reference_uranium,0,1131.9,1000.0,0.0,0,36,36,0.25,0.25,0.5,0,0,0,0,0,0,nuclear,NE,1,0,0.0,1
NE_nuclear_2,3,1,0,0,2104.7,0.0,0,0.0,294078.21,2.352,0,10.455,NE_reference_uranium,0,1052.35,1000.0,0.0,0,36,36,0.25,0.25,0.5,0,0,0,0,0,0,nuclear,NE,2,0,0.0,1
SE_natural_gas_fired_combined_cycle_1,1,1,0,0,26218.712,0.0,0,0.0,9496.0,3.504,0,7.275,SE_reference_naturalgas,0,504.206,89.34,2.0,0,6,6,0.64,0.64,0.41,0,0,0,0,0,0,natural_gas_fired_combined_cycle,SE,1,0,0.0,1
SE_natural_gas_fired_combined_cycle_2,1,1,0,0,4637.5,0.0,0,0.0,16001.0,4.415,0,7.735,SE_reference_naturalgas,0,185.5,89.34,2.0,0,6,6,0.64,0.64,0.586,0,0,0,0,0,0,natural_gas_fired_combined_cycle,SE,2,0,0.0,1
