Resource,Zone,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,NG_MMBtu_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Start_NG_MMBTU_per_MW,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MGA,Resource_Type,region,cluster,LDS.1,CCS_Rate,Can_Retire
MIDAT_onshore_wind_turbine_1,2,0,1,0,3231.6,0.0,0,0.0,43000.0,0.0,0,0.0,None,0,161.2,0.0,0.0,0,0,0,0,0,0,0,onshore_wind_turbine,MIDAT,1,0,0.0,1
MIDAT_solar_photovoltaic_1,2,0,1,0,2974.6,0.0,0,0.0,22887.0,0.0,0,0.0,None,0,10.578,0.0,0.0,0,0,0,0,0,0,0,solar_photovoltaic,MIDAT,1,0,0.0,1
NE_onshore_wind_turbine_1,3,0,1,0,3654.5,0.0,0,0.0,43000.0,0.0,0,0.0,None,0,86.17,0.0,0.0,0,0,0,0,0,0,0,onshore_wind_turbine,NE,1,0,0.0,1
NE_solar_photovoltaic_1,3,0,1,0,1629.6,0.0,0,0.0,22887.0,0.0,0,0.0,None,0,3.63,0.0,0.0,0,0,0,0,0,0,0,solar_photovoltaic,NE,1,0,0.0,1
SE_solar_photovoltaic_1,1,0,1,0,8502.2,0.0,0,0.0,22887.0,0.0,0,0.0,None,0,17.142,0.0,0.0,0,0,0,0,0,0,0,solar_photovoltaic,SE,1,0,0.0,1
NE_offshorewind_class10_moderate_floating_1_1,3,0,1,1,0.0,32928.493,0,173830.4242,57294.4,0.0,0,0.0,None,0,1.0,0.0,0.0,0,0,0,0,0,0,0,offshorewind_class10_moderate_floating_1_250,NE,1,0,0.0,1
SE_utilitypv_class1_moderate_70_0_2_1,1,0,1,1,0.0,1.041244e6,0,40649.03073,13510.19684,0.0,0,0.0,None,0,1.0,0.0,0.0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_7,SE,1,0,0.0,1
SE_utilitypv_class1_moderate_70_0_2_2,1,0,1,1,0.0,890062.0,0,39383.65331,13510.19684,0.0,0,0.0,None,0,1.0,0.0,0.0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_8,SE,2,0,0.0,1
SE_utilitypv_class1_moderate_70_0_2_3,1,0,1,1,0.0,1.238552e6,0,40720.18482,13510.19684,0.0,0,0.0,None,0,1.0,0.0,0.0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_9,SE,3,0,0.0,1
SE_utilitypv_class1_moderate_70_0_2_4,1,0,1,1,0.0,1.039859e6,0,42820.55885,13510.19684,0.0,0,0.0,None,0,1.0,0.0,0.0,0,0,0,0,0,0,0,utilitypv_class1_moderate_70_0_10,SE,4,0,0.0,1
