BA,Network_zones,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,ESR_17,ESR_18,ESR_19,ESR_20,ESR_21,ESR_22,ESR_23,ESR_24,ESR_25,ESR_26
p1,z1,0.130415819,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p10,z2,0.0,0,0.0,0.0,0.571429838,0.571429838,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p11,z3,0.0,0,0.0,0.0,0.571429838,0.571429838,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p12,z4,0.0,0,0.0,0.0,0.0,0.0,0.435675577,0.435675577,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p13,z5,0.0,0,0.0,0.0,0.0,0.0,0.435675577,0.435675577,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p14,z6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p15,z7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p16,z8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p17,z9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p18,z10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p19,z11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p2,z12,0.130415819,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p20,z13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p21,z14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p22,z15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p23,z16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p24,z17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p25,z18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p26,z19,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p27,z20,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.086690195,0,0.0,0,0,0,0.0,0.0,0.0,0
p28,z21,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.086690195,0,0.0,0,0,0,0.0,0.0,0.0,0
p29,z22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.086690195,0,0.0,0,0,0,0.0,0.0,0.0,0
p3,z23,0.130415819,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p30,z24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.086690195,0,0.0,0,0,0,0.0,0.0,0.0,0
p31,z25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.454619663,0,0,0,0.0,0.0,0.0,0
p32,z26,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p33,z27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.197471993,0.469758563,0.0,0
p34,z28,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.197471993,0.469758563,0.0,0
p4,z29,0.130415819,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p5,z30,0.0,0,0.261984944,0.54833051,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
p59,z31,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.038183251,0
p6,z32,0.0,0,0.261984944,0.54833051,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0
