Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_Power,num_units,capacity_factor,unmodified_cap_size,LDS,variable_CF,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,min_cap_mw,max_cap_mw,inv_cost_per_mwyr,var_om_cost_per_mwh
p1_conventional_hydroelectric_1,1,0,0,1799.5,p1,Conventional Hydroelectric,1,38.29,5.149,8.77,47048,0,0.064,0.134,47,0.52,38.287,0,0.428842992,1,1,0.5,0.5,1.715371952,0,0,0,0
p10_conventional_hydroelectric_1,2,0,0,681,p10,Conventional Hydroelectric,1,32.43,3.89,8.77,47048,0.443,0.206,0.090665802,21,0.338,32.429,0,0.292808264,1,1,0.5,0.5,1,0,0,0,0
p11_conventional_hydroelectric_1,3,0,0,0,p11,Conventional Hydroelectric,1,1,0,9.21,47048,0,0,0,1,0,0,0,0.350317657,1,1,0.5,0.5,1,0,0,0,0
p13_conventional_hydroelectric_1,5,0,0,1039.4,p13,Conventional Hydroelectric,1,115.49,0,8.77,47048,0,0,0,9,0.206,115.489,0,0.239772782,1,1,0.5,0.5,1,0,0,0,0
p14_conventional_hydroelectric_1,6,0,0,374.9,p14,Conventional Hydroelectric,1,37.49,15,8.77,47048,0,0.134,0.223579243,10,0.406,37.49,0,0.466382593,1,1,0.5,0.5,1,0,0,0,0
p15_conventional_hydroelectric_1,7,0,0,1456.1,p15,Conventional Hydroelectric,1,63.31,17.391,8.77,47048,0,0.09,0.210125402,23,0.397,63.309,0,0.476917177,1,1,0.5,0.5,1,0,0,0,0
p16_conventional_hydroelectric_1,8,0,0,351.8,p16,Conventional Hydroelectric,1,23.45,0,8.77,47048,0,0,0,15,0.465,23.453,0,0.39224264,1,1,0.5,0.5,1,0,0,0,0
p17_conventional_hydroelectric_1,9,0,0,1897.3,p17,Conventional Hydroelectric,1,79.05,29.333,8.77,47048,0,0.158,0.182563588,24,0.37,79.054,0,0.419012517,1,1,0.5,0.5,1,0,0,0,0
p18_conventional_hydroelectric_1,10,0,0,635.4,p18,Conventional Hydroelectric,1,28.88,0.682,8.77,47048,0,0.125,0.024,22,0.53,28.882,0,0.541106761,1,1,0.5,0.5,1.082213592,0,0,0,0
p19_conventional_hydroelectric_1,11,0,0,198,p19,Conventional Hydroelectric,1,49.5,0,8.77,47048,0,0,0,4,0.58,49.5,0,0.463964224,1,1,0.5,0.5,1,0,0,0,0
p2_conventional_hydroelectric_1,12,0,0,3495.2,p2,Conventional Hydroelectric,1,85.25,32.539,8.77,47048,0,0.165,0.131760627,41,0.338,85.249,0,0.333904445,1,1,0.5,0.5,1.335617861,0,0,0,0
p21_conventional_hydroelectric_1,14,0,0,0,p21,Conventional Hydroelectric,1,1,0,9.21,47048,0,0,0,0,0.504,0,0,0.438366175,1,1,0.5,0.5,1,0,0,0,0
p24_conventional_hydroelectric_1,17,0,0,232.9,p24,Conventional Hydroelectric,1,19.41,0,8.77,47048,0,0,0,12,0.335,19.408,0,0.320364207,1,1,0.5,0.5,1,0,0,0,0
p25_conventional_hydroelectric_1,18,0,0,0,p25,Conventional Hydroelectric,1,1,0,9.21,47048,0,0,0,1,0.291,0,0,0.31452325,1,1,0.5,0.5,1,0,0,0,0
p26_conventional_hydroelectric_1,19,0,0,151.8,p26,Conventional Hydroelectric,1,50.6,0,8.77,47048,0,0,0,3,0.411,50.6,0,0.329627335,1,1,0.5,0.5,1,0,0,0,0
p27_conventional_hydroelectric_1,20,0,0,1294.5,p27,Conventional Hydroelectric,1,86.3,0,8.77,47048,0,0,0,15,0.208,86.3,0,0.237735048,1,1,0.5,0.5,1,0,0,0,0
p28_conventional_hydroelectric_1,21,0,0,1468,p28,Conventional Hydroelectric,1,112.92,0.769,8.77,47048,0,0.118,0.007,13,0.328,112.923,0,0.348109931,1,1,0.5,0.5,1,0,0,0,0
p3_conventional_hydroelectric_1,23,0,0,1887.1,p3,Conventional Hydroelectric,1,67.4,10.571,8.77,47048,0,0,0.157,28,0.39,67.396,0,0.417009681,1,1,0.5,0.5,1.668038568,0,0,0,0
p33_conventional_hydroelectric_1,27,0,0,175.8,p33,Conventional Hydroelectric,1,29.3,0,8.77,47048,0.443,0.229,0,6,0.264,29.3,0,0.325262427,1,1,0.5,0.5,1,0,0,0,0
p34_conventional_hydroelectric_1,28,0,0,294.6,p34,Conventional Hydroelectric,1,58.92,0,8.77,47048,0,0,0,5,0.255,58.92,0,0.284346282,1,1,0.5,0.5,1,0,0,0,0
p4_conventional_hydroelectric_1,29,0,0,13446.7,p4,Conventional Hydroelectric,1,140.07,39.215,8.77,47048,0,0.087,0.251584977,96,0.395,140.07,0,0.466000378,1,1,0.5,0.5,1.864001248,0,0,0,0
p5_conventional_hydroelectric_1,30,0,0,7223,p5,Conventional Hydroelectric,1,74.46,24.765,8.77,47048,0,0.076,0.248327076,97,0.47,74.464,0,0.483793646,1,1,0.5,0.5,1.935174568,0,0,0,0
p6_conventional_hydroelectric_1,32,0,0,329.5,p6,Conventional Hydroelectric,1,27.46,4.067,8.77,47048,0,0,0.148,12,0.402,27.458,0,0.465725005,1,1,0.5,0.5,1.862900066,0,0,0,0
p7_conventional_hydroelectric_1,33,0,0,219.9,p7,Conventional Hydroelectric,1,54.98,0,8.77,47048,0,0,0,4,0.509,54.975,0,0.581064463,1,1,0.5,0.5,2.324257717,0,0,0,0
p8_conventional_hydroelectric_1,34,0,0,34,p8,Conventional Hydroelectric,1,17,0,8.77,47048,0,0,0,2,0.334,17,0,0.419841528,1,1,0.5,0.5,1,0,0,0,0
p9_conventional_hydroelectric_1,35,0,0,8039.2,p9,Conventional Hydroelectric,1,59.55,3.619,8.77,47048,0,0.149,0.061,135,0.332,59.55,0,0.336027861,1,1,0.5,0.5,1,0,0,0,0
