Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
p1_batteries_1,0.0,0.0,50.0,0.0,0.0,0.0
p1_biomass_1,0.0,0.0,50.0,0.0,0.0,0.0
p1_conventional_hydroelectric_1,0.0,0.0,50.0,0.0,0.0,0.0
p1_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,0.0,0.0,0.0
p1_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
p1_natural_gas_steam_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
p1_onshore_wind_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
p1_other_peaker_1,0.0,0.0,50.0,0.0,0.0,0.0
p1_small_hydroelectric_1,0.0,0.0,50.0,0.0,0.0,0.0
p1_solar_photovoltaic_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_batteries_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_biomass_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_conventional_hydroelectric_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_conventional_steam_coal_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_geothermal_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_hydroelectric_pumped_storage_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_natural_gas_steam_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_onshore_wind_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_other_peaker_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_small_hydroelectric_1,0.0,0.0,50.0,0.0,0.0,0.0
p10_solar_photovoltaic_1,0.0,0.0,50.0,0.0,0.0,0.0
p11_batteries_1,0.0,0.0,50.0,0.0,0.0,0.0
p11_biomass_1,0.0,0.0,50.0,0.0,0.0,0.0
