Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,Existing_Cap_MWh,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,num_units,capacity_factor,unmodified_cap_size,LDS,cost_case,tech_detail,basis_year,Fixed_OM_Cost_per_MWhyr,capex_mw,capex_mwh,Var_OM_Cost_per_MWh_In,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Max_Cap_MW,Max_Cap_MWh,regional_cost_multiplier,plant_inv_cost_mwyr,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Existing_Charge_Cap_MW,Min_Cap_MWh,Max_Charge_Cap_MW,Model,min_cap_mw
p1_batteries_1,1,0,1,5,p1,Batteries,1,1.25,10,0,10.34,0,0,0,0,4,0.003,1.25,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p10_batteries_1,2,0,1,3941.1,p10,Batteries,1,67.95,7882.2,0.388,10.34,0,0,1.13,0.562,58,0.449,67.95,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p10_hydroelectric_pumped_storage_1,2,0,1,1623,p10,Hydroelectric Pumped Storage,1,270.5,25156.5,10,0,47048,0,0,0,6,0.018,270.5,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.866,0.866,1,16,0,-1,-1,1,0
p11_batteries_1,3,0,1,427.5,p11,Batteries,1,25.15,855,14.994,10.34,0,0,1.13,0.569,17,0.529,25.147,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p11_hydroelectric_pumped_storage_1,3,0,1,42,p11,Hydroelectric Pumped Storage,1,21,651,0,0,47048,0,0,0,2,-0.047,21,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.866,0.866,1,16,0,-1,-1,1,0
p12_batteries_1,4,0,1,100,p12,Batteries,1,33.33,200,0,10.34,0,0,0.282,0.565,3,0.439,33.333,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p13_batteries_1,5,0,1,405,p13,Batteries,1,135,810,0,10.34,0,0,1.13,0.604,3,0.012,135,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p15_batteries_1,7,0,1,0,p15,Batteries,1,1,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p16_batteries_1,8,0,1,0,p16,Batteries,1,1,0,0,9.21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p18_batteries_1,10,0,1,0,p18,Batteries,1,1,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p2_batteries_1,12,0,1,1,p2,Batteries,1,1,2,1,10.34,0,0,0,0,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p25_batteries_1,18,0,1,0,p25,Batteries,1,1,0,0,9.21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p28_batteries_1,21,0,1,545,p28,Batteries,1,41.92,1090,0.1,10.34,0,0,0,0.386,13,0.293,41.923,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
p28_hydroelectric_pumped_storage_1,21,0,1,216.3,p28,Hydroelectric Pumped Storage,1,36.05,3352.6,21.667,0,47048,0,0,0,6,0.024,36.05,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.866,0.866,1,16,0,-1,-1,1,0
p30_batteries_1,24,0,1,50,p30,Batteries,1,16.67,100,0.033,10.34,0,0,0,0,3,0.128,16.667,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.92,0.92,1,10,0,-1,-1,1,0
