Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,Min_Power,num_units,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,Reg_Max,Commit,Rsv_Max,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,plant_inv_cost_mwyr,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Model,min_cap_mw
p1_natural_gas_fired_combined_cycle_1,1,0,1,870.8,p1,Natural Gas Fired Combined Cycle,1,217.7,106,8.26,16492,4.55,0.953,1.017,0,0.487,4,0.199,217.7,2,pacific_naturalgas,92,0.106666667,1,0.213333333,0,0,0,0,0,0,0,0,0.64,0.64,6,6,1,0
p1_natural_gas_fired_combustion_turbine_1,1,0,1,672.4,p1,Natural Gas Fired Combustion Turbine,1,84.05,17.5,14.75,12401,0,5.087,3.356,889.478,0.208,8,0.089,84.05,3.5,pacific_naturalgas,119,0.63,1,1.26,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
p1_natural_gas_steam_turbine_1,1,0,1,0,p1,Natural Gas Steam Turbine,1,1,0,9.21,51303,1.06,0,0,0,0,1,0.149,0,13.7,pacific_naturalgas,87,0.095,1,0.19,0,0,0,0,0,0,0,0,0.57,0.57,24,24,1,0
p1_other_peaker_1,1,0,1,2.5,p1,Other_peaker,1,2.5,0.2,12.92,0,0,0,1.401,0,0.08,1,0.078,2.5,0,pacific_naturalgas,87,0.63,1,1.26,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
p10_conventional_steam_coal_1,2,0,1,0,p10,Conventional Steam Coal,1,1,0,9.21,67229,1.88,0,0,0,0,0,0.3,0,16.5,pacific_coal,124,0.095,1,0.19,0,0,0,0,0,0,0,0,0.57,0.57,24,24,1,0
p10_natural_gas_fired_combined_cycle_1,2,0,1,10140.1,p10,Natural Gas Fired Combined Cycle,1,327.1,133.184,8.01,11426,3.75,1.218,2.299,2844.02,0.407,31,0.265,327.1,2,pacific_naturalgas,92,0.106666667,1,0.213333333,0,0,0,0,0,0,0,0,0.64,0.64,6,6,1,0
p10_natural_gas_fired_combustion_turbine_1,2,0,1,5279.2,p10,Natural Gas Fired Combustion Turbine,1,52.27,27.727,10.54,13066,0,1.215,2.476,1643.176,0.53,101,0.174,52.269,3.5,pacific_naturalgas,119,0.63,1,1.26,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
p10_natural_gas_steam_turbine_1,2,0,1,695,p10,Natural Gas Steam Turbine,1,99.29,23,11.96,51303,1.06,2.322,3.773,11470.804,0.232,7,0.195,99.286,13.7,pacific_naturalgas,87,0.095,1,0.19,0,0,0,0,0,0,0,0,0.57,0.57,24,24,1,0
p10_other_peaker_1,2,0,1,55.2,p10,Other_peaker,1,1.38,0.755,12.22,0,0,9.432,4.394,0,0.547,40,0.126,1.38,0,pacific_naturalgas,87,0.63,1,1.26,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
p11_natural_gas_fired_combined_cycle_1,3,0,1,1226.5,p11,Natural Gas Fired Combined Cycle,1,408.83,153.667,7.84,10057,3.65,1.161,0.706,2956.627,0.376,3,0.344,408.833,2,pacific_naturalgas,92,0.106666667,1,0.213333333,0,0,0,0,0,0,0,0,0.64,0.64,6,6,1,0
p11_natural_gas_fired_combustion_turbine_1,3,0,1,1447.1,p11,Natural Gas Fired Combustion Turbine,1,72.36,28.52,10.96,13262,0,1.568,1.357,1887.743,0.394,20,0.068,72.355,3.5,pacific_naturalgas,119,0.63,1,1.26,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
p11_other_peaker_1,3,0,1,0,p11,Other_peaker,1,1,0,8.68,0,0,1.05,0.561,0,0,0,0.244,0,0,pacific_naturalgas,87,0.63,1,1.26,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
p12_conventional_steam_coal_1,4,0,1,219.2,p12,Conventional Steam Coal,1,219.2,80,10.4,73056,1.88,1.348,1.353,4299.68,0.365,1,0.156,219.2,16.5,mountain_coal,124,0.095,1,0.19,0,0,0,0,0,0,0,0,0.57,0.57,24,24,1,0
p12_natural_gas_fired_combined_cycle_1,4,0,1,686,p12,Natural Gas Fired Combined Cycle,1,343,151,7.64,9787,3.61,0.195,0.276,0,0.44,2,0.603,343,2,mountain_naturalgas,92,0.106666667,1,0.213333333,0,0,0,0,0,0,0,0,0.64,0.64,6,6,1,0
p12_natural_gas_fired_combustion_turbine_1,4,0,1,144,p12,Natural Gas Fired Combustion Turbine,1,72,35,13.08,13314,0,0,0,0,0.486,2,2.873,72,3.5,mountain_naturalgas,119,0.63,1,1.26,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
