Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,num_units,capacity_factor,unmodified_cap_size,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,min_cap_mw
p1_onshore_wind_turbine_1,1,0,1,604.4,p1,Onshore Wind Turbine,1,100.73,0.917,8.77,0,0,0,0,6,0.16,100.733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408703046,0
p1_solar_photovoltaic_1,1,0,1,15.6,p1,Solar Photovoltaic,1,3.12,0,8.77,0,0,0,0.001,5,68.757,3.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276246626,0
p10_onshore_wind_turbine_1,2,0,1,4193.5,p10,Onshore Wind Turbine,1,51.77,0.696,8.77,0,0,0,0.094,81,0.252,51.772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502068744,0
p10_solar_photovoltaic_1,2,0,1,13107.1,p10,Solar Photovoltaic,1,22.72,0.002,8.77,0,0,0,0.173,577,0.254,22.716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251377492,0
p11_onshore_wind_turbine_1,3,0,1,458.4,p11,Onshore Wind Turbine,1,152.8,88.467,8.77,0,0,0.111,0.222,3,0.241,152.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418291694,0
p11_solar_photovoltaic_1,3,0,1,179.7,p11,Solar Photovoltaic,1,6.66,0,8.77,0,0,0.115,0.195,27,0.571,6.656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242036452,0
p12_onshore_wind_turbine_1,4,0,1,150,p12,Onshore Wind Turbine,1,150,150,8.77,0,0,0,0,1,0.251,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344940068,0
p12_solar_photovoltaic_1,4,0,1,1095,p12,Solar Photovoltaic,1,84.23,0,8.77,0,0,0.443,0.226,13,1.32,84.231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257304846,0
p13_solar_photovoltaic_1,5,0,1,3429.4,p13,Solar Photovoltaic,1,57.16,0,8.77,0,0,0,0.166,60,0.27,57.157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230742798,0
p15_onshore_wind_turbine_1,7,0,1,202.4,p15,Onshore Wind Turbine,1,22.49,0.689,8.77,0,0,0,0,9,0.263,22.489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341022101,0
p15_solar_photovoltaic_1,7,0,1,188,p15,Solar Photovoltaic,1,26.86,0,8.77,0,0,0,0.157,7,0.247,26.857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228518212,0
p16_onshore_wind_turbine_1,8,0,1,710.4,p16,Onshore Wind Turbine,1,32.29,0.991,8.77,0,0,0,0.125,22,0.321,32.291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368927388,0
p16_solar_photovoltaic_1,8,0,1,40,p16,Solar Photovoltaic,1,20,0,8.77,0,0,0.443,0.256,2,0.241,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226313686,0
p17_solar_photovoltaic_1,9,0,1,0,p17,Solar Photovoltaic,1,1,0,9.21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213491316,0
p18_onshore_wind_turbine_1,10,0,1,556.6,p18,Onshore Wind Turbine,1,46.38,6.942,8.77,0,0,0.443,0.208,12,0.353,46.383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453041959,0
p18_solar_photovoltaic_1,10,0,1,14,p18,Solar Photovoltaic,1,2.8,0,8.77,0,0,0,0,5,0.195,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214389571,0
p2_onshore_wind_turbine_1,12,0,1,2521.2,p2,Onshore Wind Turbine,1,140.07,0.95,8.77,0,0,0,0,18,0.286,140.067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40672416,0
p2_solar_photovoltaic_1,12,0,1,152.3,p2,Solar Photovoltaic,1,76.15,0,8.77,0,0,0.222,0.256,2,0.074,76.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273375388,0
p20_onshore_wind_turbine_1,13,0,1,366.3,p20,Onshore Wind Turbine,1,45.79,0.575,8.77,0,0,0.222,0.207,8,0.376,45.788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460294214,0
p20_solar_photovoltaic_1,13,0,1,83,p20,Solar Photovoltaic,1,41.5,0,8.77,0,0,0,0,2,0.18,41.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214661537,0
p21_onshore_wind_turbine_1,14,0,1,283.2,p21,Onshore Wind Turbine,1,94.4,3.333,8.77,0,0,0,0,3,0.262,94.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428584854,0
p21_solar_photovoltaic_1,14,0,1,92,p21,Solar Photovoltaic,1,92,0,8.77,0,0,0,0,1,0.163,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216298899,0
p24_onshore_wind_turbine_1,17,0,1,3508.6,p24,Onshore Wind Turbine,1,120.99,0.776,8.77,0,0,0,0.169,29,0.326,120.986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477686907,0
