Resource,Min_Cap_1,Min_Cap_2
p10_offshorewind_class3_moderate_fixed_1_1,1.0,0.0
p10_offshorewind_class3_moderate_fixed_1_2,1.0,0.0
p10_offshorewind_class3_moderate_fixed_0_1,1.0,0.0
p10_offshorewind_class3_moderate_fixed_0_2,1.0,0.0
p10_offshorewind_class12_moderate_floating_0_1,1.0,0.0
p10_offshorewind_class12_moderate_floating_0_2,1.0,0.0
p11_offshorewind_class3_moderate_fixed_1_1,1.0,0.0
p11_offshorewind_class3_moderate_fixed_1_2,1.0,0.0
p11_offshorewind_class3_moderate_fixed_0_1,1.0,0.0
p11_offshorewind_class3_moderate_fixed_0_2,1.0,0.0
p11_offshorewind_class12_moderate_floating_0_1,1.0,0.0
p11_offshorewind_class12_moderate_floating_0_2,1.0,0.0
p9_offshorewind_class3_moderate_fixed_1_1,1.0,0.0
p9_offshorewind_class3_moderate_fixed_1_2,1.0,0.0
p9_offshorewind_class3_moderate_fixed_0_1,1.0,0.0
p9_offshorewind_class3_moderate_fixed_0_2,1.0,0.0
p9_offshorewind_class12_moderate_floating_0_1,1.0,0.0
p9_offshorewind_class12_moderate_floating_0_2,1.0,0.0
p10_batteries_1,0.0,1.0
p10_hydroelectric_pumped_storage_1,0.0,1.0
p11_batteries_1,0.0,1.0
p11_hydroelectric_pumped_storage_1,0.0,1.0
p9_batteries_1,0.0,1.0
p9_hydroelectric_pumped_storage_1,0.0,1.0
p10_utilityscale_battery_storage_lithium_ion_moderate_0,0.0,1.0
p11_utilityscale_battery_storage_lithium_ion_moderate_0,0.0,1.0
p8_utilityscale_battery_storage_lithium_ion_moderate_0,0.0,1.0
p9_utilityscale_battery_storage_lithium_ion_moderate_0,0.0,1.0
