Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Max_Flow_Possible_MW,Capital_Recovery_Period,WACC,DerateCapRes_1,CapRes_Excl_1,DerateCapRes_2,CapRes_Excl_2,DerateCapRes_3,CapRes_Excl_3
z1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8839.639,8839.639,p1_to_p2,26810.0,563314.0,0.0191,8840.0,1000000.0,60.0,0.044,0.95,0,0.95,0,0.95,0
z2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,11977.3255,11977.3255,p1_to_p4,27312.0,573851.0,0.0192,11977.0,1000000.0,60.0,0.044,0.95,0,0.95,0,0.95,0
z3,3,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3350.0385,3350.0385,p10_to_p11,20547.0,431717.0,0.0318,3350.0,1000000.0,60.0,0.044,0.95,0,0.95,0,0.95,0
z4,4,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400.6005,8400.6005,p10_to_p13,30050.0,631394.0,0.0312,8401.0,1000000.0,60.0,0.044,0.95,-1,0.95,1,0.95,0
z5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920.0,1920.0,p10_to_p25,46155.0,969769.0,0.0624,1920.0,1000000.0,60.0,0.044,0.95,-1,0.95,1,0.95,0
z6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.7675,641.7675,p10_to_p27,31391.0,659563.0,0.0336,642.0,1000000.0,60.0,0.044,0.95,0,0.95,1,0.95,-1
z7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4662.3025,4662.3025,p10_to_p28,32297.0,678595.0,0.0325,4662.0,1000000.0,60.0,0.044,0.95,0,0.95,1,0.95,-1
z8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2780.0,2780.0,p10_to_p5,61913.0,1300872.0,0.0924,2780.0,1000000.0,60.0,0.044,0.95,-1,0.95,1,0.95,0
z9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,7730.8825,7730.8825,p10_to_p9,54467.0,1144423.0,0.0603,7731.0,1000000.0,60.0,0.044,0.95,0,0.95,0,0.95,0
z10,10,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.224,1066.224,p12_to_p13,29136.0,612174.0,0.0341,1066.0,1000000.0,60.0,0.044,0.95,0,0.95,0,0.95,0
