cpa_id,cluster
99042,1
99047,1
99058,1
99067,1
99165,1
99136,1
99142,1
99154,1
99158,1
99162,1
99164,1
99174,1
99176,1
99260,1
99268,1
99285,1
99493,1
99496,1
99511,1
99514,1
99523,1
99527,1
99539,1
99542,1
99681,1
99687,1
99691,1
99703,1
99290,1
99302,1
99308,1
99310,1
99320,1
99321,1
99329,1
99338,1
99340,1
99342,1
99345,1
99347,1
99348,1
99352,1
99353,1
99355,1
99358,1
99362,1
99366,1
99369,1
99370,1
99375,1
99385,1
99393,1
99401,1
99408,1
99414,1
99420,1
99421,1
99422,1
99431,1
99439,1
99443,1
99446,1
99447,1
99453,1
99458,1
99461,1
99464,1
99466,1
99467,1
99473,1
99475,1
99480,1
99482,1
99484,1
99497,1
99499,1
99502,1
99505,1
99506,1
99507,1
99509,1
99510,1
99512,1
99513,1
99516,1
99525,1
99526,1
99529,1
99532,1
99534,1
99558,1
99561,1
99569,1
99570,1
99572,1
99577,1
99578,1
99581,1
99583,1
99585,1
99590,1
99592,1
99597,1
99605,1
99606,1
99610,1
99613,1
99616,1
99621,1
99627,1
99631,1
99635,1
99636,1
99638,1
99639,1
99640,1
99642,1
99644,1
99645,1
99647,1
99648,1
99650,1
99663,1
99670,1
99679,1
99680,1
99698,1
99707,1
107211,1
107215,1
107217,1
107218,1
107219,1
107220,1
107223,1
107224,1
107225,1
107230,1
107231,1
107232,1
107235,1
107236,1
107237,1
107239,1
107240,1
107241,1
107242,1
107245,1
107246,1
107247,1
107248,1
107249,1
107512,1
107513,1
107730,1
107731,1
107734,1
107735,1
107875,1
107543,1
107544,1
107545,1
107546,1
107591,1
107606,1
107653,1
107654,1
107878,1
107879,1
107880,1
107881,1
107882,1
107883,1
107884,1
107885,1
107886,1
107887,1
107888,1
107891,1
108002,1
108037,1
108038,1
108039,1
108040,1
108041,1
108042,1
108043,1
108044,1
108046,1
108047,1
108048,1
108049,1
108052,1
108053,1
108055,1
108056,1
108065,1
108068,1
108090,1
108091,1
108092,1
108093,1
108148,1
108149,1
108150,1
108151,1
108152,1
108153,1
108154,1
108155,1
108156,1
108158,1
108159,1
108161,1
108182,1
108183,1
108184,1
108185,1
108186,1
108187,1
108188,1
108189,1
108191,1
108192,1
108193,1
108194,1
108197,1
108198,1
108199,1
108205,1
108206,1
108207,1
108215,1
108216,1
108225,1
108233,1
108553,1
108636,1
108637,1
108638,1
108639,1
108640,1
108641,1
108642,1
108643,1
108686,1
108687,1
108688,1
108694,1
108696,1
108711,1
108712,1
108713,1
108714,1
108715,1
108726,1
108727,1
108744,1
108745,1
108772,1
108773,1
108774,1
108775,1
108776,1
108777,1
108778,1
108810,1
108812,1
108813,1
108822,1
108823,1
108897,1
108923,1
108924,1
108946,1
108947,1
108970,1
108971,1
108997,1
108998,1
109022,1
109023,1
109044,1
109294,1
109749,1
109750,1
109785,1
109819,1
109820,1
109853,1
109855,1
109856,1
109857,1
109997,1
109998,1
109999,1
110055,1
110056,1
110057,1
110060,1
110061,1
110062,1
110171,1
110180,1
110232,1
110243,1
110244,1
110251,1
110252,1
110253,1
110254,1
110255,1
110363,1
110364,1
110365,1
110366,1
110367,1
110368,1
110369,1
110370,1
110371,1
110372,1
110373,1
110374,1
110375,1
110376,1
110377,1
110378,1
110379,1
110380,1
110381,1
110382,1
110383,1
110384,1
110385,1
110386,1
110387,1
110388,1
110389,1
110390,1
110391,1
110392,1
110393,1
110394,1
110395,1
110396,1
110397,1
110398,1
110399,1
110400,1
110401,1
110402,1
110403,1
110404,1
110405,1
110406,1
110407,1
110408,1
110409,1
110410,1
110411,1
110412,1
110413,1
110414,1
110415,1
110416,1
110417,1
110418,1
110419,1
110420,1
110421,1
110422,1
110423,1
110424,1
110425,1
110426,1
110427,1
110428,1
110429,1
110430,1
110431,1
110432,1
110434,1
110435,1
110437,1
110438,1
110439,1
110440,1
110462,1
110463,1
110464,1
110465,1
110466,1
110569,1
110570,1
110571,1
110586,1
110587,1
110589,1
110590,1
110591,1
110592,1
110623,1
110624,1
110625,1
110626,1
110633,1
110638,1
110639,1
110640,1
110641,1
110642,1
110643,1
110644,1
110663,1
110664,1
110700,1
110701,1
110702,1
110703,1
110704,1
110705,1
110706,1
110707,1
110708,1
110709,1
110710,1
110711,1
110712,1
110713,1
110714,1
110715,1
110716,1
110717,1
110718,1
110719,1
110720,1
110721,1
110722,1
110723,1
110724,1
110725,1
110726,1
110727,1
110728,1
110729,1
110730,1
110731,1
110732,1
110733,1
110734,1
110735,1
110746,1
110747,1
110748,1
110749,1
110750,1
110781,1
110832,1
110833,1
110836,1
110837,1
110838,1
110839,1
110840,1
110841,1
110842,1
110843,1
110844,1
110845,1
110846,1
110847,1
110850,1
110851,1
110860,1
110861,1
110863,1
110864,1
110867,1
110868,1
110869,1
110876,1
110877,1
110878,1
110879,1
110880,1
110886,1
110887,1
110888,1
110889,1
110890,1
110891,1
110892,1
110893,1
110894,1
110899,1
110900,1
110901,1
110902,1
110903,1
110904,1
110905,1
110906,1
110909,1
110910,1
110911,1
110912,1
110913,1
110914,1
110915,1
110916,1
110917,1
110918,1
110919,1
110921,1
110922,1
110923,1
110924,1
110925,1
110926,1
110927,1
110928,1
110929,1
110930,1
110931,1
110932,1
110933,1
110934,1
110938,1
110939,1
110940,1
110941,1
110942,1
110943,1
110944,1
110945,1
110946,1
110947,1
110948,1
110949,1
110950,1
110951,1
110952,1
110953,1
110954,1
110958,1
110959,1
110960,1
110961,1
110962,1
110963,1
110964,1
110965,1
110966,1
110967,1
110968,1
110969,1
110970,1
110971,1
110972,1
110973,1
110974,1
110980,1
110981,1
110982,1
110983,1
110984,1
110985,1
110986,1
110987,1
110988,1
110989,1
110990,1
110991,1
110992,1
110993,1
110994,1
110995,1
110996,1
110997,1
110998,1
111003,1
111004,1
111005,1
111006,1
111007,1
111008,1
111009,1
111010,1
111011,1
111012,1
111013,1
111014,1
111015,1
111016,1
111017,1
111030,1
111031,1
111032,1
111033,1
111034,1
111035,1
111036,1
111037,1
111038,1
111039,1
111040,1
111052,1
111053,1
111054,1
111055,1
111056,1
111057,1
111058,1
111059,1
111060,1
111062,1
111074,1
111075,1
111076,1
111077,1
111078,1
111079,1
111080,1
111081,1
111082,1
111094,1
111095,1
111096,1
111097,1
111098,1
111099,1
111100,1
111101,1
111102,1
111103,1
111104,1
111114,1
111115,1
111116,1
111117,1
111118,1
111119,1
111120,1
111121,1
111122,1
111123,1
111136,1
111137,1
111138,1
111139,1
111140,1
111156,1
111157,1
111158,1
111205,1
111282,1
111167,1
111168,1
111169,1
111170,1
111171,1
111172,1
111173,1
111174,1
111186,1
111187,1
111188,1
111189,1
111190,1
111191,1
111192,1
111203,1
111216,1
111217,1
111218,1
111219,1
111220,1
111221,1
111222,1
111223,1
111224,1
111225,1
111226,1
111227,1
111228,1
111229,1
111230,1
111231,1
111232,1
111322,1
111323,1
111324,1
111325,1
111326,1
111327,1
111328,1
111522,1
111523,1
111532,1
111533,1
111537,1
111538,1
111539,1
111558,1
111561,1
111562,1
111563,1
111564,1
111565,1
111566,1
111567,1
111568,1
111569,1
111570,1
111571,1
111572,1
111573,1
111574,1
111575,1
111576,1
111577,1
111578,1
111579,1
111580,1
111581,1
111582,1
111583,1
111584,1
111585,1
111586,1
111587,1
111588,1
111589,1
111590,1
111591,1
111592,1
111593,1
111594,1
111595,1
111596,1
111597,1
111598,1
111599,1
111600,1
111601,1
111603,1
111604,1
111605,1
111606,1
111609,1
111612,1
111620,1
111621,1
111626,1
111692,1
111693,1
111694,1
111779,1
111784,1
111785,1
111786,1
111787,1
111788,1
111789,1
111790,1
111794,1
111796,1
111797,1
111798,1
111799,1
111800,1
111804,1
111805,1
111806,1
111810,1
111811,1
111812,1
111813,1
111883,1
111885,1
111887,1
111888,1
111890,1
111891,1
111897,1
111900,1
111706,1
111707,1
111708,1
111737,1
111738,1
111739,1
111740,1
111741,1
111742,1
111743,1
111744,1
111745,1
111746,1
111748,1
111749,1
111750,1
111751,1
111752,1
111753,1
111754,1
111755,1
111756,1
111757,1
111758,1
111759,1
111760,1
111761,1
111762,1
111763,1
111764,1
111765,1
111766,1
111767,1
111768,1
111769,1
111770,1
111771,1
111772,1
111773,1
111816,1
111817,1
111818,1
111819,1
111872,1
111874,1
111875,1
111877,1
111879,1
111880,1
111881,1
111882,1
111898,1
111899,1
111901,1
111903,1
111904,1
111905,1
111906,1
111910,1
111929,1
111935,1
111940,1
111941,1
111943,1
111944,1
111945,1
111946,1
111957,1
111958,1
111959,1
111960,1
111961,1
111962,1
111963,1
111964,1
111965,1
111968,1
111969,1
111974,1
111975,1
111976,1
111977,1
111978,1
111979,1
111980,1
111981,1
111982,1
111983,1
111984,1
111985,1
111986,1
111987,1
111988,1
111989,1
111990,1
111991,1
111992,1
111993,1
111994,1
111995,1
111996,1
111997,1
111998,1
111999,1
112000,1
112001,1
112002,1
112003,1
112004,1
112005,1
112006,1
112007,1
112008,1
112009,1
112010,1
112011,1
112012,1
112013,1
112014,1
112015,1
112016,1
112017,1
112018,1
112019,1
112020,1
112021,1
112022,1
112023,1
112024,1
112025,1
112026,1
112027,1
112028,1
112029,1
112030,1
112031,1
112032,1
112033,1
112034,1
112035,1
112036,1
112037,1
112038,1
112039,1
112040,1
112041,1
112042,1
112043,1
112044,1
112045,1
112046,1
112047,1
112048,1
112049,1
112050,1
112051,1
112052,1
112053,1
112054,1
112055,1
112056,1
112057,1
112058,1
112059,1
112060,1
112061,1
112062,1
112063,1
112064,1
112065,1
112066,1
112067,1
112068,1
112069,1
112070,1
112071,1
112072,1
112073,1
112074,1
112075,1
112076,1
112077,1
112078,1
112079,1
112080,1
112081,1
112082,1
112083,1
112084,1
112085,1
112086,1
112087,1
112088,1
112089,1
112090,1
112091,1
112092,1
112093,1
112094,1
112095,1
112096,1
112097,1
112098,1
112099,1
112100,1
112101,1
112102,1
112103,1
112104,1
112105,1
112106,1
112107,1
112108,1
112109,1
112110,1
112111,1
112112,1
112113,1
112114,1
112115,1
112116,1
112117,1
112118,1
112119,1
112120,1
112121,1
112122,1
112123,1
112124,1
112125,1
112126,1
112127,1
112128,1
112129,1
112130,1
112131,1
112132,1
112133,1
112134,1
112135,1
112136,1
112137,1
112138,1
112139,1
112140,1
112141,1
112142,1
112143,1
112144,1
112145,1
112146,1
112147,1
112148,1
112149,1
112150,1
112151,1
112152,1
112153,1
112154,1
112155,1
112156,1
112157,1
112158,1
112159,1
112160,1
112161,1
112162,1
112163,1
112164,1
112165,1
112166,1
112167,1
112168,1
112170,1
112171,1
112172,1
112173,1
112174,1
112175,1
112176,1
112177,1
112178,1
112179,1
112180,1
112181,1
112182,1
112183,1
112184,1
112185,1
112186,1
112187,1
112213,1
112247,1
112457,1
112458,1
112485,1
112486,1
112487,1
112488,1
112517,1
112518,1
112519,1
112520,1
112521,1
112522,1
112549,1
112550,1
112551,1
112581,1
112583,1
112584,1
113058,1
113074,1
113075,1
113076,1
113077,1
113078,1
113079,1
113080,1
113081,1
113082,1
113083,1
113084,1
113085,1
113086,1
113087,1
113088,1
113089,1
113090,1
113091,1
113092,1
113093,1
113094,1
113095,1
113096,1
113097,1
113098,1
113099,1
113100,1
113101,1
113102,1
113103,1
113104,1
113105,1
113106,1
113107,1
113108,1
113109,1
113110,1
113111,1
113113,1
113114,1
113115,1
113116,1
113117,1
113118,1
113119,1
113129,1
113130,1
113131,1
113135,1
113136,1
113137,1
113138,1
113139,1
113143,1
113146,1
113147,1
113148,1
113149,1
113150,1
113151,1
113152,1
113153,1
113154,1
113156,1
113157,1
113161,1
113162,1
113163,1
113164,1
113165,1
113166,1
113169,1
113170,1
113171,1
113172,1
113173,1
113189,1
113190,1
113191,1
