cpa_id,cluster
93842,1
99723,1
103128,1
103177,1
103223,1
103089,1
103090,1
103093,1
103103,1
103114,1
103117,1
103121,1
103122,1
103124,1
103127,1
103130,1
103135,1
103145,1
103152,1
103160,1
103163,1
103164,1
103173,1
103176,1
103178,1
103188,1
103191,1
103198,1
103205,1
103206,1
103209,1
103213,1
103220,1
103222,1
103228,1
103230,1
103240,1
103245,1
103248,1
103252,1
103257,1
103303,1
103308,1
103309,1
103312,1
103316,1
103319,1
103330,1
117946,1
120004,1
120016,1
120026,1
120027,1
120036,1
120037,1
120038,1
120044,1
201504,1
201505,1
201517,1
201518,1
201627,1
201643,1
201655,1
201666,1
201735,1
203331,1
203423,1
203424,1
203426,1
203428,1
203429,1
203430,1
203431,1
203432,1
203433,1
203434,1
203435,1
203436,1
203437,1
203438,1
203439,1
203442,1
203444,1
203445,1
203451,1
203452,1
203453,1
203458,1
203656,1
203657,1
203658,1
203659,1
203667,1
203672,1
203673,1
203674,1
203675,1
203688,1
203689,1
203690,1
203691,1
203692,1
203693,1
203694,1
203695,1
203727,1
203729,1
203730,1
203731,1
203734,1
203735,1
203736,1
203737,1
203738,1
203739,1
203740,1
203741,1
203742,1
203743,1
203744,1
203746,1
203747,1
203748,1
203749,1
203750,1
203751,1
203752,1
203753,1
203754,1
203755,1
203757,1
203758,1
203759,1
203760,1
203762,1
203763,1
203766,1
203767,1
203768,1
203769,1
203770,1
203771,1
203772,1
203773,1
203775,1
203776,1
203787,1
203788,1
203792,1
203793,1
203794,1
203795,1
203796,1
203797,1
203798,1
203799,1
203800,1
203801,1
203802,1
203803,1
203804,1
203805,1
203806,1
203807,1
203808,1
203809,1
203810,1
203811,1
203812,1
203813,1
203814,1
203815,1
203816,1
203817,1
203818,1
203819,1
203820,1
203821,1
203822,1
203823,1
203824,1
203825,1
203826,1
203827,1
203828,1
203829,1
203830,1
203831,1
203832,1
203833,1
203834,1
203835,1
203836,1
203837,1
203838,1
203839,1
203840,1
203841,1
203842,1
203843,1
203844,1
203845,1
203846,1
203847,1
203848,1
203849,1
203850,1
203851,1
203852,1
203853,1
203854,1
203855,1
203856,1
203857,1
203858,1
203859,1
203860,1
203861,1
203862,1
203863,1
203864,1
203865,1
203866,1
203867,1
203868,1
203869,1
203870,1
203871,1
203872,1
203873,1
203874,1
203875,1
203876,1
203877,1
203878,1
203879,1
203880,1
203881,1
203882,1
203883,1
203884,1
203885,1
203886,1
203887,1
203888,1
203889,1
203890,1
203891,1
203892,1
203893,1
203894,1
203895,1
203896,1
203897,1
203898,1
203899,1
203900,1
203901,1
203902,1
203903,1
203904,1
203905,1
203906,1
203907,1
203908,1
203909,1
203910,1
203911,1
203912,1
203913,1
203914,1
203915,1
203916,1
203917,1
203918,1
203919,1
203920,1
203921,1
203922,1
203923,1
203924,1
203929,1
203930,1
203931,1
203932,1
203933,1
203934,1
203935,1
203936,1
203937,1
203938,1
203939,1
203940,1
203941,1
203942,1
203943,1
203944,1
203945,1
203949,1
203950,1
203961,1
203962,1
203964,1
203965,1
203966,1
203967,1
203968,1
203969,1
203970,1
203971,1
203972,1
203973,1
203974,1
203975,1
204000,1
204001,1
204002,1
204061,1
204522,1
204523,1
204600,1
204618,1
204619,1
204415,1
204416,1
204417,1
204418,1
204419,1
204420,1
204421,1
204422,1
204423,1
204424,1
204425,1
204426,1
204427,1
204428,1
204429,1
204430,1
204431,1
204432,1
204433,1
204434,1
204435,1
204436,1
204437,1
204438,1
204439,1
204440,1
204441,1
204442,1
204443,1
204444,1
204445,1
204446,1
204447,1
204448,1
204449,1
204450,1
204451,1
204452,1
204453,1
204454,1
204455,1
204456,1
204457,1
204458,1
204459,1
204463,1
204497,1
204498,1
204499,1
204500,1
204524,1
204525,1
204526,1
204527,1
204528,1
204529,1
204531,1
204532,1
204533,1
204534,1
204535,1
204536,1
204537,1
204538,1
204539,1
204540,1
204541,1
204542,1
204543,1
204544,1
204545,1
204546,1
204547,1
204548,1
204549,1
204550,1
204551,1
204552,1
204553,1
204554,1
204555,1
204556,1
204557,1
204558,1
204559,1
204560,1
204561,1
204562,1
204563,1
204564,1
204565,1
204566,1
204567,1
204568,1
204569,1
204570,1
204571,1
204572,1
204573,1
204574,1
204575,1
204576,1
204577,1
204578,1
204579,1
204580,1
204581,1
204582,1
204583,1
204584,1
204585,1
204586,1
204587,1
204588,1
204589,1
204590,1
204591,1
204592,1
204593,1
204594,1
204595,1
204596,1
204601,1
204602,1
204603,1
204604,1
204605,1
204606,1
204609,1
204663,1
204664,1
204665,1
204666,1
204675,1
204676,1
204677,1
204678,1
204679,1
204680,1
204681,1
204682,1
204683,1
204684,1
204685,1
204686,1
204687,1
204688,1
204689,1
204690,1
204691,1
204692,1
204693,1
204694,1
204695,1
204696,1
204697,1
204698,1
204699,1
204700,1
204701,1
204702,1
204703,1
204704,1
204705,1
204706,1
204707,1
204708,1
204709,1
204710,1
204711,1
204712,1
204713,1
204714,1
204715,1
204716,1
204717,1
204718,1
204719,1
204720,1
204721,1
204722,1
204723,1
204724,1
204725,1
204726,1
204727,1
204728,1
204729,1
204735,1
204736,1
204737,1
204738,1
204739,1
204740,1
204741,1
204742,1
204743,1
204744,1
204745,1
204746,1
204747,1
204748,1
204749,1
204750,1
204751,1
204752,1
204753,1
204754,1
204755,1
204756,1
204757,1
204758,1
204759,1
204760,1
204761,1
204781,1
204782,1
204783,1
204784,1
204785,1
204786,1
204787,1
204788,1
204847,1
204848,1
204851,1
204852,1
204865,1
204866,1
204867,1
204868,1
204869,1
204870,1
204871,1
204877,1
204878,1
204899,1
204900,1
204909,1
204910,1
204911,1
204912,1
204913,1
204921,1
204922,1
204923,1
204924,1
204925,1
204926,1
204927,1
204928,1
204929,1
204930,1
204931,1
204938,1
204939,1
204940,1
204941,1
204942,1
204943,1
204944,1
204945,1
204946,1
204947,1
204948,1
204949,1
204950,1
204951,1
204952,1
204953,1
204954,1
204955,1
204962,1
204963,1
204964,1
204965,1
204966,1
204967,1
204968,1
204969,1
204970,1
204971,1
204972,1
204973,1
204974,1
204975,1
204976,1
204977,1
204978,1
204979,1
204980,1
204981,1
204982,1
204983,1
204984,1
204991,1
204992,1
204993,1
204994,1
204995,1
204996,1
204997,1
204998,1
204999,1
205000,1
205001,1
205002,1
205003,1
205004,1
205005,1
205006,1
205007,1
205008,1
205009,1
205010,1
205011,1
205012,1
205013,1
205014,1
205021,1
205022,1
205023,1
205024,1
205025,1
205026,1
205027,1
205028,1
205029,1
205030,1
205031,1
205032,1
205033,1
205034,1
205035,1
205036,1
205037,1
205038,1
205039,1
205040,1
205041,1
205042,1
205043,1
205044,1
205052,1
205053,1
205054,1
205055,1
205056,1
205057,1
205058,1
205059,1
205060,1
205061,1
205062,1
205063,1
205064,1
205065,1
205066,1
205067,1
205068,1
205069,1
205070,1
205071,1
205072,1
205073,1
205074,1
205075,1
205076,1
205084,1
205085,1
205086,1
205087,1
205088,1
205089,1
205090,1
205091,1
205092,1
205093,1
205094,1
205095,1
205096,1
205097,1
205098,1
205099,1
205100,1
205101,1
205102,1
205103,1
205104,1
205105,1
205106,1
205107,1
205108,1
205116,1
205117,1
205118,1
205119,1
205120,1
205121,1
205122,1
205123,1
205124,1
205125,1
205126,1
205127,1
205128,1
205129,1
205130,1
205131,1
205132,1
205133,1
205134,1
205135,1
205136,1
205137,1
205138,1
205147,1
205148,1
205149,1
205150,1
205151,1
205152,1
205153,1
205154,1
205155,1
205156,1
205157,1
205158,1
205159,1
205160,1
205161,1
205162,1
205163,1
205164,1
205165,1
205166,1
205168,1
205177,1
205178,1
205179,1
205180,1
205181,1
205182,1
205183,1
205184,1
205185,1
205186,1
205187,1
205188,1
205189,1
205190,1
205191,1
205192,1
205193,1
205194,1
205195,1
205196,1
205198,1
205207,1
205208,1
205209,1
205210,1
205211,1
205212,1
205213,1
205214,1
205215,1
205216,1
205217,1
205218,1
205219,1
205220,1
205221,1
205235,1
205236,1
205237,1
205238,1
205239,1
205240,1
205241,1
205242,1
205243,1
205244,1
205245,1
205246,1
205247,1
205262,1
205265,1
205272,1
205361,1
205362,1
205363,1
205364,1
205365,1
205366,1
205367,1
205371,1
205380,1
205381,1
205384,1
205387,1
205427,1
205447,1
205448,1
205450,1
205457,1
205459,1
205463,1
205469,1
205470,1
205471,1
205472,1
205473,1
205474,1
205475,1
205476,1
205477,1
205478,1
205479,1
205480,1
205481,1
205482,1
205483,1
205484,1
205485,1
205486,1
205487,1
205488,1
205489,1
205490,1
205491,1
205492,1
205493,1
205494,1
205495,1
205496,1
205497,1
205498,1
205499,1
205500,1
205501,1
205502,1
205503,1
205504,1
205505,1
205506,1
205507,1
205508,1
205509,1
205510,1
205511,1
205512,1
205513,1
205514,1
205515,1
205516,1
205517,1
205518,1
205519,1
205520,1
205521,1
205522,1
205523,1
205524,1
205525,1
205526,1
205527,1
205528,1
205529,1
205530,1
205531,1
205532,1
205533,1
205534,1
205535,1
205536,1
205537,1
205538,1
205539,1
205540,1
205541,1
205542,1
205543,1
205544,1
205545,1
205546,1
205547,1
205548,1
205549,1
205550,1
205551,1
205552,1
205553,1
205554,1
205555,1
205556,1
205557,1
205558,1
205559,1
205560,1
205561,1
205562,1
205563,1
205564,1
205565,1
205566,1
205567,1
205568,1
205569,1
205570,1
205571,1
205572,1
205573,1
205574,1
205575,1
205576,1
205577,1
205578,1
205579,1
205580,1
205581,1
205582,1
205583,1
205584,1
205585,1
205586,1
205587,1
205588,1
205589,1
205590,1
205591,1
205592,1
205593,1
205594,1
205595,1
205596,1
205597,1
205598,1
205599,1
205600,1
205601,1
205602,1
205603,1
205604,1
205605,1
205606,1
205607,1
205608,1
205609,1
205610,1
205611,1
205612,1
205613,1
205614,1
205615,1
205616,1
205617,1
205618,1
205619,1
205620,1
205621,1
205622,1
205623,1
205624,1
205625,1
205626,1
205627,1
205628,1
205629,1
205630,1
205631,1
205632,1
205633,1
205634,1
205635,1
205636,1
205637,1
205638,1
205639,1
205640,1
205641,1
205642,1
205643,1
205644,1
205645,1
205646,1
205647,1
205648,1
205649,1
205650,1
205651,1
205652,1
205653,1
205654,1
205655,1
205656,1
205657,1
205658,1
205668,1
205669,1
205670,1
205671,1
205672,1
205673,1
205677,1
205688,1
205689,1
205741,1
205742,1
205864,1
205865,1
205880,1
206106,1
206107,1
206108,1
206109,1
206110,1
206111,1
206112,1
206113,1
206114,1
206116,1
206117,1
206118,1
206119,1
206120,1
206121,1
206122,1
206123,1
206124,1
206125,1
206126,1
206127,1
206128,1
206129,1
206130,1
206132,1
206134,1
206135,1
206136,1
206137,1
206140,1
206141,1
206148,1
206149,1
206155,1
206156,1
206157,1
206158,1
206159,1
206160,1
206161,1
206201,1
206209,1
206303,1
206304,1
206511,1
206512,1
206513,1
206514,1
206515,1
206574,1
206575,1
206576,1
206577,1
206578,1
206579,1
206580,1
206641,1
206642,1
206643,1
206644,1
206645,1
206646,1
206647,1
206711,1
206712,1
206713,1
206714,1
206715,1
206716,1
206717,1
206719,1
206783,1
206784,1
206785,1
206786,1
206787,1
206788,1
206789,1
206790,1
206791,1
206792,1
206794,1
206858,1
206859,1
206860,1
206861,1
206862,1
206863,1
206864,1
206865,1
206866,1
206868,1
206869,1
206934,1
206935,1
206936,1
206937,1
206938,1
206940,1
206941,1
206944,1
206945,1
206946,1
207012,1
207013,1
207014,1
207015,1
207016,1
207017,1
207018,1
207020,1
207021,1
207022,1
207023,1
207024,1
207092,1
207093,1
207094,1
207095,1
207096,1
207097,1
207098,1
207099,1
207100,1
207101,1
207102,1
207103,1
207104,1
207105,1
207106,1
207175,1
207176,1
207177,1
207178,1
207179,1
207180,1
207181,1
207182,1
207183,1
207184,1
207185,1
207186,1
207187,1
207188,1
207189,1
207190,1
207191,1
207262,1
207263,1
207264,1
207265,1
207266,1
207267,1
207268,1
207269,1
207270,1
207271,1
207272,1
207273,1
207274,1
207275,1
207276,1
207277,1
207278,1
207279,1
207280,1
207361,1
207362,1
207363,1
207364,1
207365,1
207366,1
207367,1
207368,1
207369,1
207370,1
207371,1
207372,1
207373,1
207374,1
207375,1
207376,1
207377,1
207378,1
207379,1
207380,1
207381,1
207463,1
207464,1
207465,1
207466,1
207467,1
207468,1
207469,1
207470,1
207471,1
207472,1
207473,1
207474,1
