cpa_id,cluster
737,1
1064,1
1065,1
1160,1
1231,1
1247,1
1328,1
1645,1
2009,1
2012,1
1976,1
1981,1
1999,1
2005,1
2008,1
2010,1
1984,1
1985,1
1995,1
2001,1
2227,1
15847,1
15848,1
15849,1
15855,1
15856,1
15857,1
15862,1
16266,1
16316,1
16331,1
16342,1
16343,1
16344,1
16345,1
16355,1
16356,1
16357,1
16367,1
16829,1
16901,1
16902,1
16903,1
16925,1
16926,1
17138,1
17141,1
17143,1
17144,1
17147,1
19823,1
19824,1
20005,1
20339,1
21752,1
21799,1
21823,1
21847,1
30464,1
30465,1
30466,1
30467,1
30468,1
33351,1
33361,1
33328,1
33330,1
33331,1
33332,1
33333,1
33334,1
33335,1
33336,1
33337,1
33338,1
33339,1
33340,1
33341,1
33342,1
33343,1
33344,1
33345,1
33346,1
33347,1
33348,1
33349,1
33350,1
35291,1
35312,1
35313,1
35314,1
39886,1
39887,1
39992,1
39993,1
39994,1
39995,1
39996,1
40095,1
40096,1
40097,1
40098,1
40099,1
40100,1
40201,1
40202,1
40203,1
40204,1
40205,1
40206,1
40207,1
40208,1
40316,1
40317,1
40318,1
40319,1
40320,1
40321,1
40322,1
40323,1
40426,1
40427,1
40428,1
40429,1
40430,1
40431,1
40432,1
40539,1
40540,1
40541,1
40542,1
40543,1
40544,1
40545,1
40658,1
40659,1
40660,1
40661,1
40662,1
40780,1
40781,1
40782,1
41668,1
41670,1
41804,1
41805,1
41806,1
41807,1
41810,1
41944,1
41945,1
41946,1
41947,1
41948,1
41949,1
41950,1
41951,1
41952,1
41955,1
42085,1
42086,1
42087,1
42088,1
42089,1
42090,1
42091,1
42092,1
42093,1
42094,1
42224,1
42225,1
42226,1
42228,1
42229,1
42230,1
42231,1
42232,1
42233,1
42363,1
42364,1
42365,1
42366,1
42367,1
42368,1
42369,1
42370,1
42371,1
42372,1
42373,1
42374,1
42375,1
42503,1
42504,1
42505,1
42506,1
42507,1
42508,1
42509,1
42510,1
42511,1
42512,1
42513,1
42632,1
42633,1
42634,1
42635,1
42636,1
42637,1
42638,1
42639,1
42640,1
42641,1
42642,1
42759,1
42760,1
42761,1
42762,1
42764,1
42765,1
42766,1
42767,1
42768,1
42769,1
42885,1
42886,1
42887,1
42888,1
42891,1
42892,1
42893,1
42894,1
42895,1
42896,1
43014,1
43015,1
43016,1
43017,1
43019,1
43020,1
43021,1
43022,1
43023,1
43024,1
43141,1
43142,1
43143,1
43144,1
43145,1
43147,1
43148,1
43149,1
43150,1
43151,1
43152,1
43153,1
43271,1
43272,1
43273,1
43277,1
43278,1
43280,1
43281,1
43282,1
43283,1
43398,1
43399,1
43400,1
43402,1
43404,1
43405,1
43406,1
43407,1
43408,1
43521,1
43522,1
43523,1
43524,1
43528,1
43529,1
43530,1
43531,1
43532,1
43643,1
43644,1
43645,1
43646,1
43647,1
43648,1
43650,1
43651,1
43652,1
43654,1
43768,1
43771,1
43775,1
43776,1
43769,1
43770,1
43772,1
43773,1
43774,1
43898,1
43899,1
43900,1
44026,1
44151,1
44265,1
44266,1
43891,1
43892,1
43893,1
43894,1
43895,1
43896,1
43897,1
44017,1
44018,1
44019,1
44020,1
44021,1
44022,1
44023,1
44024,1
44025,1
44142,1
44143,1
44144,1
44145,1
44146,1
44147,1
44148,1
44149,1
44150,1
44256,1
44257,1
44258,1
44259,1
44260,1
44261,1
44262,1
44263,1
44264,1
44373,1
44374,1
44472,1
44570,1
44655,1
44656,1
44657,1
44667,1
44668,1
44669,1
44754,1
44755,1
44756,1
44757,1
44758,1
44759,1
44760,1
44761,1
44762,1
44763,1
44764,1
44765,1
44766,1
44767,1
44768,1
44769,1
44770,1
44364,1
44365,1
44366,1
44367,1
44368,1
44369,1
44370,1
44371,1
44372,1
44462,1
44463,1
44464,1
44465,1
44466,1
44467,1
44468,1
44469,1
44470,1
44471,1
44560,1
44561,1
44562,1
44563,1
44564,1
44565,1
44566,1
44567,1
44568,1
44569,1
44658,1
44659,1
44660,1
44661,1
44662,1
44663,1
44664,1
44665,1
44666,1
44854,1
44855,1
44856,1
44857,1
44858,1
44859,1
44860,1
44861,1
44862,1
44863,1
44864,1
44865,1
44866,1
44867,1
44868,1
44869,1
44870,1
44871,1
44953,1
44954,1
44955,1
44956,1
44957,1
44958,1
44959,1
44960,1
44961,1
44962,1
44963,1
44964,1
44965,1
44966,1
44967,1
44968,1
44969,1
45048,1
45049,1
45050,1
45051,1
45052,1
45053,1
45054,1
45055,1
45056,1
45057,1
45058,1
45059,1
45060,1
45061,1
45062,1
45063,1
45064,1
45065,1
45142,1
45143,1
45144,1
45145,1
45146,1
45147,1
45148,1
45149,1
45150,1
45151,1
45152,1
45153,1
45154,1
45155,1
45156,1
45157,1
45158,1
45159,1
45231,1
45232,1
