cpa_id,cluster
22842,1
22575,1
22611,1
22642,1
22649,1
22651,1
22845,1
22977,1
22980,1
22989,1
22995,1
22997,1
23198,1
23214,1
23219,1
22904,1
22907,1
22918,1
22925,1
22928,1
22936,1
22948,1
22965,1
22972,1
23004,1
23011,1
23016,1
23025,1
23027,1
23032,1
23036,1
23047,1
23065,1
23069,1
23075,1
23079,1
23084,1
23092,1
23107,1
23165,1
23170,1
23180,1
23186,1
23197,1
23220,1
22848,1
22853,1
23093,1
23124,1
23141,1
23148,1
23157,1
23171,1
23183,1
23190,1
23191,1
23205,1
23233,1
23317,1
23358,1
23408,1
23415,1
23422,1
23425,1
23427,1
23436,1
23446,1
23454,1
23467,1
23479,1
23625,1
23633,1
23666,1
23711,1
23722,1
23724,1
23726,1
23732,1
23359,1
23368,1
29469,1
30770,1
30771,1
30831,1
32879,1
33869,1
33873,1
33874,1
33885,1
33887,1
33936,1
33886,1
33898,1
33899,1
33934,1
34707,1
34717,1
34718,1
34719,1
34720,1
34728,1
34729,1
34730,1
35314,1
35315,1
35317,1
35316,1
35200,1
35321,1
35322,1
35324,1
35325,1
35396,1
35399,1
35427,1
35428,1
35431,1
35432,1
35464,1
35465,1
35466,1
35467,1
35468,1
35469,1
35470,1
35471,1
35513,1
35514,1
35515,1
35516,1
35518,1
35519,1
35560,1
35564,1
35611,1
35612,1
35613,1
35658,1
35659,1
35805,1
35858,1
35502,1
35549,1
35555,1
35556,1
35557,1
35558,1
35559,1
35600,1
35602,1
35694,1
35746,1
35747,1
35804,1
35761,1
35816,1
35912,1
35961,1
36008,1
36058,1
36083,1
36138,1
36139,1
36251,1
36252,1
36304,1
36836,1
36837,1
36838,1
36839,1
36840,1
36841,1
36842,1
36843,1
36844,1
36847,1
36849,1
36851,1
36865,1
36870,1
36871,1
36872,1
36873,1
36912,1
36913,1
36914,1
36916,1
36917,1
36919,1
36920,1
36921,1
36922,1
36927,1
36928,1
36929,1
36935,1
36945,1
36956,1
36961,1
36966,1
36970,1
36979,1
36879,1
36880,1
36881,1
36882,1
36883,1
36885,1
36886,1
36887,1
36888,1
36889,1
36890,1
36891,1
36892,1
36893,1
36894,1
36895,1
36896,1
36897,1
36898,1
36899,1
36900,1
36901,1
36902,1
36903,1
36904,1
36905,1
36906,1
36910,1
36911,1
36964,1
36965,1
36981,1
38210,1
38211,1
38221,1
38222,1
38223,1
38224,1
38233,1
38234,1
38235,1
38236,1
38237,1
38244,1
38245,1
38256,1
38257,1
38270,1
38202,1
38220,1
38231,1
38232,1
38242,1
38243,1
38248,1
38250,1
38251,1
38252,1
38253,1
38254,1
38258,1
38260,1
38261,1
38262,1
38263,1
38266,1
38271,1
38272,1
38275,1
38280,1
38281,1
38287,1
38315,1
38801,1
38818,1
38819,1
38837,1
38838,1
38839,1
38854,1
38855,1
38856,1
38857,1
38858,1
38874,1
38875,1
38876,1
38877,1
38878,1
38781,1
38783,1
38784,1
38785,1
38789,1
38790,1
38791,1
38792,1
38793,1
38794,1
38795,1
38796,1
38797,1
38798,1
38799,1
38800,1
38806,1
38807,1
38810,1
38811,1
38812,1
38813,1
38814,1
38815,1
38816,1
38817,1
38825,1
38826,1
38830,1
38831,1
38832,1
38833,1
38834,1
38835,1
38836,1
38843,1
38844,1
38847,1
38848,1
38849,1
38850,1
38851,1
38852,1
38853,1
38861,1
38862,1
38863,1
38866,1
38867,1
38868,1
38869,1
38870,1
38871,1
38872,1
38873,1
39331,1
39332,1
39333,1
39349,1
39350,1
39351,1
39366,1
39367,1
39368,1
39380,1
38894,1
38895,1
38896,1
38897,1
38898,1
38899,1
38900,1
38919,1
38920,1
38921,1
38922,1
38923,1
38924,1
38925,1
38926,1
38927,1
38928,1
38929,1
38930,1
38948,1
38949,1
38950,1
38951,1
38952,1
38953,1
38954,1
38955,1
38956,1
38957,1
38958,1
38959,1
38982,1
38983,1
38984,1
38985,1
38986,1
38987,1
38988,1
38989,1
38990,1
38992,1
38993,1
38994,1
39016,1
39017,1
39018,1
39019,1
39020,1
39021,1
39022,1
39023,1
39024,1
39025,1
39026,1
39034,1
39049,1
39050,1
39051,1
39052,1
39053,1
39054,1
39055,1
39057,1
39059,1
39060,1
39061,1
39062,1
39069,1
39087,1
39088,1
39089,1
39090,1
39091,1
39092,1
39093,1
39094,1
39100,1
39101,1
39102,1
39115,1
39116,1
39117,1
39118,1
39119,1
39120,1
39121,1
39128,1
39129,1
39130,1
39132,1
39140,1
39141,1
39142,1
39143,1
39144,1
39145,1
39146,1
39151,1
39153,1
39155,1
39156,1
39164,1
39165,1
39166,1
39167,1
39168,1
39169,1
39170,1
39171,1
39172,1
39173,1
39175,1
39176,1
39180,1
39188,1
39189,1
39190,1
39191,1
39192,1
39195,1
39197,1
39198,1
39199,1
39200,1
39204,1
39205,1
39206,1
39214,1
39215,1
39216,1
39220,1
39221,1
39222,1
39223,1
39225,1
39226,1
39228,1
39229,1
39230,1
39231,1
39241,1
39242,1
39244,1
39245,1
39246,1
39247,1
39248,1
39249,1
39252,1
39253,1
39254,1
39255,1
39256,1
39263,1
39264,1
39265,1
39266,1
39267,1
39268,1
39269,1
39270,1
39271,1
39272,1
39273,1
39274,1
39275,1
39276,1
39277,1
39278,1
39279,1
39280,1
39285,1
39286,1
39287,1
39288,1
39289,1
39290,1
39291,1
39292,1
39293,1
39294,1
39295,1
39296,1
39297,1
39298,1
39299,1
39300,1
39301,1
39302,1
39303,1
39308,1
39311,1
39312,1
39313,1
39314,1
39315,1
39316,1
39317,1
39318,1
39319,1
39320,1
39321,1
39322,1
39323,1
39324,1
39334,1
39335,1
39336,1
39337,1
39338,1
39339,1
39340,1
39341,1
39342,1
39343,1
39344,1
39352,1
39353,1
39354,1
39355,1
39356,1
39357,1
39358,1
39359,1
39360,1
39361,1
39369,1
39370,1
39371,1
39372,1
39373,1
39374,1
39375,1
39376,1
39377,1
38885,1
38887,1
38888,1
38889,1
38890,1
38891,1
38892,1
38893,1
38912,1
38916,1
38917,1
38918,1
38945,1
38946,1
38947,1
38977,1
38978,1
38979,1
38980,1
38981,1
39009,1
39010,1
39011,1
39012,1
39013,1
39014,1
39015,1
39042,1
39043,1
39044,1
39045,1
39046,1
39047,1
39048,1
39078,1
39080,1
39081,1
39082,1
39084,1
39085,1
39086,1
39113,1
39381,1
39382,1
39383,1
39392,1
39384,1
39385,1
39386,1
39387,1
39388,1
39389,1
40296,1
40297,1
40298,1
40299,1
40300,1
40295,1
40951,1
40974,1
40975,1
40978,1
40979,1
40980,1
40981,1
40983,1
40984,1
40985,1
40986,1
40989,1
41013,1
41014,1
41015,1
40988,1
40990,1
40991,1
40992,1
40993,1
40994,1
40995,1
40996,1
40997,1
40998,1
40999,1
41001,1
41002,1
41003,1
41004,1
41005,1
41006,1
41007,1
41008,1
41009,1
41010,1
41011,1
41016,1
41017,1
41018,1
41019,1
41020,1
41021,1
41022,1
41023,1
41024,1
41025,1
41026,1
41027,1
41031,1
41032,1
41033,1
41034,1
41035,1
41036,1
41037,1
41038,1
41039,1
41040,1
41041,1
41042,1
41043,1
41044,1
41045,1
41531,1
41532,1
41542,1
41543,1
41566,1
41567,1
41571,1
41578,1
41579,1
41582,1
41592,1
41596,1
41599,1
41602,1
41605,1
41606,1
41610,1
41612,1
41613,1
41614,1
41615,1
41616,1
41621,1
41622,1
41623,1
41624,1
41625,1
41626,1
41629,1
41635,1
41636,1
41637,1
41638,1
41640,1
41642,1
41645,1
41646,1
41656,1
41657,1
41658,1
41660,1
41661,1
41662,1
41663,1
41664,1
41665,1
41666,1
41669,1
41683,1
41687,1
41729,1
41730,1
41819,1
41865,1
41670,1
41688,1
41689,1
41690,1
41691,1
41693,1
41694,1
41712,1
41713,1
41714,1
41715,1
41716,1
41733,1
41734,1
41735,1
41736,1
41737,1
41751,1
41752,1
41753,1
41754,1
41755,1
41756,1
41773,1
41774,1
41775,1
41776,1
41777,1
41778,1
41796,1
41797,1
41798,1
41799,1
41820,1
41821,1
41717,1
41738,1
42929,1
42930,1
42942,1
42903,1
42906,1
42912,1
42919,1
42920,1
42928,1
42996,1
43004,1
43005,1
43012,1
43013,1
43021,1
43022,1
43030,1
43031,1
43039,1
43288,1
43289,1
43291,1
43699,1
43708,1
43666,1
43682,1
43687,1
44809,1
44810,1
44862,1
44868,1
44995,1
45011,1
45026,1
22360,2
22515,2
22545,2
22558,2
22563,2
22577,2
22582,2
22583,2
22594,2
22601,2
22605,2
22606,2
22609,2
22610,2
22628,2
22645,2
22665,2
22683,2
22739,2
22735,2
22810,2
22818,2
22951,2
22964,2
22968,2
22970,2
22979,2
22981,2
23005,2
23039,2
23113,2
23239,2
23249,2
22910,2
22946,2
22986,2
22994,2
23006,2
23007,2
23031,2
23044,2
23058,2
23066,2
23068,2
23303,2
23313,2
23059,2
23074,2
23086,2
23089,2
23091,2
23097,2
23100,2
23101,2
23109,2
23114,2
23117,2
23128,2
23142,2
23145,2
23229,2
23291,2
23310,2
23355,2
23366,2
23367,2
23370,2
23371,2
23372,2
23377,2
23382,2
23389,2
23393,2
23394,2
23395,2
23400,2
23405,2
23406,2
23417,2
23462,2
23469,2
23475,2
23480,2
23493,2
23517,2
23538,2
23545,2
23553,2
23595,2
23602,2
23447,2
23607,2
23667,2
23672,2
23675,2
23677,2
23683,2
23685,2
23686,2
23701,2
23706,2
23712,2
23733,2
23736,2
23738,2
23696,2
23713,2
29471,2
30732,2
30754,2
30827,2
30829,2
30832,2
30833,2
30834,2
30835,2
30838,2
32877,2
32878,2
32880,2
32881,2
33931,2
33932,2
33935,2
33937,2
33913,2
33916,2
34265,2
33929,2
33930,2
33933,2
34673,2
34674,2
34675,2
34676,2
35313,2
35318,2
35370,2
35319,2
35320,2
35202,2
35393,2
35394,2
35395,2
35397,2
35398,2
35426,2
35429,2
35430,2
35433,2
35463,2
35472,2
35476,2
35490,2
35512,2
35517,2
35520,2
35521,2
35522,2
35523,2
35535,2
35536,2
35537,2
35561,2
35562,2
35563,2
35565,2
35566,2
35567,2
35581,2
35604,2
35605,2
35606,2
35607,2
35608,2
35609,2
35610,2
35632,2
35652,2
35653,2
35654,2
35655,2
35656,2
35657,2
35660,2
35661,2
35702,2
35703,2
35704,2
35705,2
35706,2
35707,2
35708,2
35709,2
35753,2
35754,2
35755,2
35756,2
35757,2
35758,2
35759,2
35809,2
35811,2
35812,2
35813,2
35814,2
35815,2
35859,2
35865,2
35866,2
35867,2
35868,2
35387,2
35392,2
35422,2
35424,2
35425,2
35454,2
35458,2
35459,2
35495,2
35496,2
35497,2
35499,2
35500,2
35501,2
35507,2
35508,2
35509,2
35510,2
35511,2
35542,2
35543,2
35544,2
35545,2
35550,2
35551,2
35553,2
35554,2
35580,2
35586,2
35588,2
35589,2
35590,2
35595,2
35596,2
35597,2
35598,2
35599,2
35601,2
35603,2
35634,2
35635,2
35643,2
35644,2
35647,2
35648,2
35649,2
35650,2
35651,2
35680,2
35681,2
35682,2
35684,2
35685,2
35695,2
35696,2
35697,2
35698,2
35699,2
35700,2
35701,2
35734,2
35735,2
35748,2
35749,2
35750,2
35751,2
35752,2
35869,2
35870,2
35871,2
35872,2
35873,2
35760,2
35762,2
35763,2
35764,2
35817,2
35818,2
35819,2
35820,2
35821,2
35919,2
35920,2
35921,2
36016,2
36017,2
36018,2
36019,2
36020,2
36066,2
36067,2
36068,2
36069,2
36113,2
36121,2
36122,2
36125,2
36171,2
36172,2
36179,2
36180,2
36234,2
35874,2
35922,2
35923,2
35924,2
35926,2
35973,2
36022,2
36023,2
36024,2
36025,2
36071,2
36072,2
36076,2
36126,2
36137,2
36184,2
36193,2
36223,2
36224,2
36250,2
36284,2
36303,2
36335,2
36355,2
36393,2
36394,2
36448,2
36449,2
36499,2
36502,2
36503,2
36505,2
36506,2
36507,2
36553,2
36832,2
36833,2
36835,2
36384,2
36387,2
36442,2
36498,2
36551,2
36552,2
36845,2
36846,2
36848,2
36850,2
36852,2
36853,2
36854,2
36855,2
36856,2
36857,2
36858,2
36861,2
36862,2
36863,2
36864,2
36866,2
36869,2
36875,2
36561,2
36607,2
36646,2
36647,2
36648,2
36787,2
36795,2
36798,2
36802,2
36803,2
36805,2
36806,2
36807,2
36808,2
36809,2
36811,2
36812,2
36813,2
36814,2
36815,2
36816,2
36817,2
36818,2
36820,2
36821,2
36822,2
36824,2
36638,2
36639,2
36907,2
36909,2
36915,2
36918,2
36923,2
36924,2
36934,2
36939,2
36941,2
36942,2
36943,2
36944,2
36946,2
36948,2
