cpa_id,cluster
224,1
227,1
255,1
281,1
293,1
297,1
299,1
540,1
554,1
309,1
320,1
328,1
336,1
340,1
344,1
348,1
351,1
352,1
357,1
359,1
363,1
367,1
372,1
373,1
377,1
378,1
416,1
422,1
438,1
441,1
444,1
452,1
453,1
469,1
483,1
485,1
488,1
498,1
504,1
509,1
518,1
519,1
527,1
528,1
539,1
541,1
547,1
558,1
560,1
581,1
592,1
617,1
619,1
623,1
633,1
639,1
644,1
654,1
663,1
689,1
695,1
696,1
704,1
711,1
740,1
742,1
747,1
756,1
772,1
781,1
786,1
809,1
815,1
842,1
843,1
853,1
861,1
869,1
880,1
886,1
892,1
905,1
918,1
943,1
960,1
992,1
1008,1
1059,1
2581,1
2587,1
2890,1
2891,1
2892,1
2894,1
2896,1
2900,1
2901,1
2904,1
2906,1
2952,1
2954,1
2955,1
2956,1
2958,1
3056,1
3057,1
3058,1
3061,1
3062,1
3064,1
3065,1
3066,1
3067,1
3069,1
3074,1
3075,1
3076,1
3078,1
3083,1
3085,1
3086,1
3087,1
3088,1
3089,1
3090,1
3091,1
3092,1
3095,1
3098,1
3099,1
3263,1
4368,1
4370,1
4378,1
4380,1
4382,1
4481,1
4482,1
4764,1
4915,1
4916,1
4917,1
4918,1
4919,1
4920,1
4931,1
4932,1
4933,1
4934,1
4950,1
4951,1
4952,1
4973,1
4974,1
4975,1
4976,1
4993,1
5006,1
5023,1
4926,1
4927,1
4928,1
4929,1
4930,1
4946,1
4947,1
4963,1
4964,1
4965,1
4969,1
4987,1
4988,1
4991,1
4992,1
5012,1
5013,1
5022,1
5029,1
5041,1
5042,1
5052,1
5054,1
5064,1
5083,1
5106,1
5108,1
5109,1
5110,1
5111,1
5112,1
5113,1
5212,1
5214,1
5217,1
5218,1
5221,1
5222,1
5226,1
5332,1
5333,1
5338,1
5340,1
5341,1
5451,1
5459,1
5465,1
5466,1
5469,1
5470,1
5474,1
5486,1
5495,1
5496,1
5549,1
5550,1
5552,1
5553,1
5556,1
5557,1
5558,1
5559,1
5560,1
5561,1
5562,1
5563,1
5568,1
5637,1
5772,1
5773,1
5779,1
5780,1
5781,1
5786,1
5788,1
5789,1
5794,1
5795,1
5796,1
5799,1
5800,1
5801,1
5802,1
5803,1
5805,1
6474,1
6475,1
6476,1
6477,1
6483,1
6484,1
6741,1
6743,1
6754,1
6768,1
6923,1
6926,1
6927,1
6969,1
6981,1
6982,1
6990,1
6991,1
7003,1
7004,1
7005,1
7006,1
7010,1
7012,1
7023,1
7025,1
7026,1
7029,1
7030,1
7031,1
7032,1
7042,1
7043,1
7044,1
7045,1
7046,1
7047,1
7048,1
7059,1
7060,1
7061,1
7062,1
7063,1
7064,1
7072,1
7073,1
7074,1
7075,1
7076,1
7077,1
7078,1
7083,1
7084,1
7085,1
7086,1
7087,1
7088,1
6937,1
6938,1
6956,1
6958,1
6960,1
6978,1
6979,1
7001,1
7015,1
7021,1
7022,1
7038,1
7039,1
7040,1
7041,1
7054,1
7055,1
7056,1
7057,1
7058,1
7068,1
7069,1
7070,1
7071,1
7079,1
7080,1
7081,1
7082,1
7089,1
7090,1
7091,1
8714,1
8721,1
8722,1
8737,1
8804,1
9256,1
9290,1
9291,1
9292,1
9293,1
9425,1
9427,1
9503,1
9619,1
9632,1
9634,1
9638,1
9677,1
9706,1
9743,1
9765,1
9768,1
11552,1
11566,1
11575,1
11581,1
12157,1
12160,1
12161,1
21234,1
21240,1
21258,1
24201,1
24008,1
24009,1
24012,1
24038,1
24406,1
24414,1
24419,1
24431,1
285,2
353,2
376,2
391,2
426,2
434,2
449,2
458,2
490,2
499,2
524,2
532,2
555,2
556,2
559,2
566,2
570,2
575,2
589,2
590,2
602,2
604,2
605,2
625,2
653,2
671,2
674,2
702,2
717,2
728,2
733,2
758,2
762,2
780,2
790,2
797,2
804,2
823,2
850,2
857,2
867,2
920,2
933,2
935,2
936,2
938,2
942,2
956,2
977,2
997,2
999,2
1011,2
1028,2
1042,2
1047,2
1069,2
1077,2
1131,2
1140,2
1196,2
1934,2
2525,2
2526,2
2585,2
2586,2
2589,2
2592,2
2593,2
2594,2
2893,2
2895,2
2898,2
2903,2
2959,2
2992,2
2999,2
3008,2
3009,2
3018,2
3019,2
3052,2
3053,2
3055,2
3059,2
3060,2
3068,2
3070,2
3071,2
3073,2
3079,2
3084,2
3093,2
3096,2
3097,2
3100,2
3101,2
4275,2
4276,2
4281,2
4366,2
4372,2
4373,2
4375,2
4377,2
4379,2
4381,2
4451,2
4453,2
4459,2
4469,2
4759,2
4760,2
4921,2
4935,2
4949,2
4959,2
4971,2
5007,2
4945,2
4977,2
4982,2
4986,2
4995,2
4996,2
4997,2
5001,2
5004,2
5008,2
5036,2
5043,2
5049,2
5053,2
5055,2
5061,2
5074,2
5085,2
5087,2
5196,2
5199,2
5213,2
5215,2
5225,2
5430,2
5440,2
5446,2
5449,2
5450,2
5458,2
5464,2
5471,2
5473,2
5481,2
5485,2
5551,2
5565,2
5566,2
5567,2
5570,2
5573,2
5574,2
5575,2
5599,2
5600,2
5601,2
5604,2
5608,2
5611,2
5640,2
5641,2
5738,2
5785,2
5787,2
5793,2
5804,2
6473,2
6478,2
6485,2
6486,2
6740,2
6744,2
6745,2
6746,2
6750,2
6757,2
6758,2
6769,2
6772,2
6779,2
6780,2
6799,2
6895,2
6909,2
6910,2
6911,2
6912,2
6922,2
6925,2
6928,2
6929,2
6942,2
6943,2
6944,2
6945,2
6946,2
6947,2
6948,2
6949,2
6961,2
6962,2
6963,2
6964,2
6965,2
6966,2
6967,2
6968,2
6980,2
6983,2
6984,2
6985,2
6986,2
6988,2
6989,2
7002,2
7007,2
7008,2
7009,2
7011,2
7013,2
7024,2
7027,2
7028,2
7033,2
7034,2
7049,2
7050,2
7065,2
6861,2
6872,2
6891,2
6892,2
6893,2
6894,2
