cpa_id,cluster
5,1
12,1
23,1
6,1
8,1
14,1
15,1
52,1
76,1
97,1
100,1
123,1
133,1
143,1
147,1
154,1
210,1
184,1
186,1
196,1
198,1
200,1
202,1
203,1
206,1
213,1
214,1
219,1
223,1
239,1
245,1
249,1
256,1
267,1
268,1
270,1
279,1
388,1
397,1
403,1
473,1
1797,1
1812,1
1946,1
1952,1
1978,1
1979,1
1983,1
1984,1
1985,1
1986,1
1987,1
1994,1
1995,1
2002,1
2005,1
2007,1
2016,1
2020,1
2024,1
2025,1
2035,1
2048,1
2052,1
2055,1
2062,1
2066,1
2067,1
2085,1
2089,1
2108,1
2111,1
2113,1
2116,1
2218,1
2219,1
2316,1
2328,1
2330,1
2331,1
2334,1
2338,1
2339,1
2342,1
2343,1
2344,1
2345,1
2347,1
2348,1
2349,1
2351,1
2352,1
2357,1
2358,1
2359,1
2360,1
2361,1
2362,1
2364,1
2365,1
2366,1
2379,1
2380,1
2381,1
2382,1
2383,1
2385,1
2386,1
2389,1
2398,1
2399,1
2400,1
2406,1
2407,1
2416,1
2417,1
2423,1
2426,1
2479,1
2481,1
2482,1
2483,1
2484,1
2486,1
2487,1
2488,1
2489,1
2494,1
2495,1
2496,1
2497,1
2499,1
2527,1
2528,1
2538,1
2539,1
2588,1
2590,1
2591,1
2599,1
2601,1
2602,1
2603,1
2604,1
2605,1
2606,1
2607,1
2611,1
2612,1
2614,1
2617,1
2618,1
2625,1
2626,1
2629,1
2630,1
2631,1
2636,1
2637,1
2638,1
2639,1
2643,1
2644,1
2645,1
2647,1
2648,1
2748,1
2749,1
2750,1
2754,1
2755,1
2756,1
2757,1
2758,1
2762,1
2763,1
2764,1
2770,1
2771,1
2772,1
2773,1
2774,1
2778,1
2783,1
2784,1
2785,1
2788,1
2789,1
2791,1
2799,1
2801,1
2933,1
2934,1
2935,1
2936,1
2937,1
2938,1
2902,1
2907,1
2909,1
2918,1
3026,1
3027,1
3038,1
3046,1
3250,1
4280,1
4284,1
4285,1
4286,1
4288,1
4290,1
4291,1
4293,1
4298,1
4522,1
4533,1
4541,1
4546,1
4547,1
4549,1
4551,1
4552,1
4944,1
4960,1
4961,1
4962,1
4983,1
5028,1
5065,1
5066,1
5073,1
5075,1
5077,1
5084,1
5086,1
5088,1
5092,1
5093,1
5097,1
5120,1
5128,1
5129,1
5130,1
5132,1
5143,1
5145,1
5146,1
5148,1
5157,1
5158,1
5159,1
5160,1
5161,1
5172,1
5173,1
5174,1
5175,1
5176,1
5184,1
5441,1
5453,1
5460,1
6913,1
6930,1
6950,1
6951,1
6970,1
6992,1
6931,1
6933,1
6934,1
6952,1
6971,1
6972,1
7016,1
10,2
25,2
71,2
73,2
112,2
172,2
218,2
231,2
176,2
190,2
197,2
201,2
230,2
242,2
258,2
262,2
264,2
290,2
1780,2
1808,2
1811,2
1813,2
1835,2
1837,2
1855,2
1860,2
1891,2
1973,2
1974,2
1980,2
1981,2
1982,2
1989,2
1990,2
1991,2
1992,2
1993,2
1996,2
1997,2
1998,2
2008,2
2009,2
2010,2
2011,2
2017,2
2018,2
2021,2
2026,2
2029,2
2030,2
2032,2
2036,2
2038,2
2039,2
2045,2
2049,2
2053,2
2054,2
2057,2
2058,2
2059,2
2060,2
2068,2
2070,2
2110,2
2112,2
2114,2
2215,2
2217,2
2220,2
2221,2
2224,2
2225,2
2226,2
2227,2
2231,2
2235,2
2236,2
2244,2
2245,2
2246,2
2247,2
2248,2
2255,2
2256,2
2315,2
2320,2
2333,2
2335,2
2336,2
2340,2
2341,2
2346,2
2350,2
2353,2
2354,2
2355,2
2356,2
2363,2
2367,2
2368,2
2369,2
2370,2
2372,2
2374,2
2377,2
2378,2
2384,2
2390,2
2396,2
2397,2
2402,2
2404,2
2413,2
2414,2
2415,2
2422,2
2424,2
2425,2
2427,2
2431,2
2434,2
2435,2
2436,2
2438,2
2439,2
2442,2
2443,2
2444,2
2447,2
2448,2
2451,2
2452,2
2459,2
2561,2
2567,2
2575,2
2576,2
2608,2
2613,2
2621,2
2623,2
2632,2
2633,2
2634,2
2640,2
2641,2
2642,2
2646,2
2666,2
2739,2
2742,2
2743,2
2744,2
2747,2
2753,2
2761,2
2765,2
2766,2
2767,2
2769,2
2775,2
2776,2
2777,2
2779,2
2780,2
2781,2
2782,2
2786,2
2787,2
2790,2
2792,2
2793,2
2795,2
2796,2
2797,2
2798,2
2800,2
2802,2
2803,2
2805,2
2806,2
2930,2
2910,2
2916,2
2917,2
2924,2
3049,2
3050,2
3246,2
3247,2
3249,2
4263,2
4267,2
4269,2
4270,2
4272,2
4273,2
4274,2
4278,2
4279,2
4283,2
4287,2
4289,2
4292,2
4294,2
4295,2
4296,2
4297,2
4300,2
4308,2
4309,2
4315,2
4321,2
4327,2
4332,2
4925,2
4943,2
4984,2
5005,2
5114,2
5119,2
5142,2
5144,2
5170,2
5171,2
5182,2
5183,2
5185,2
5188,2
5194,2
5195,2
6889,2
6897,2
6932,2
6953,2
6954,2
6973,2
6993,2
6994,2
7037,2
2,3
9,3
22,3
30,3
54,3
57,3
62,3
82,3
92,3
107,3
119,3
132,3
158,3
182,3
188,3
192,3
194,3
241,3
253,3
263,3
287,3
303,3
304,3
1784,3
1785,3
1786,3
1787,3
1788,3
1789,3
1791,3
1792,3
1793,3
1795,3
1796,3
1822,3
1823,3
1824,3
1825,3
1834,3
1850,3
1854,3
1869,3
1870,3
1885,3
1888,3
1889,3
1890,3
1901,3
1904,3
1923,3
1937,3
1938,3
1944,3
1954,3
1975,3
1976,3
1977,3
1988,3
1999,3
2000,3
2001,3
2003,3
2019,3
2022,3
2031,3
2033,3
2040,3
2041,3
2046,3
2047,3
2050,3
2051,3
2056,3
2061,3
2071,3
2079,3
2084,3
2093,3
2109,3
2115,3
2207,3
2216,3
2222,3
2228,3
2229,3
2232,3
2233,3
2234,3
2237,3
2238,3
2240,3
2242,3
2243,3
2249,3
2254,3
2259,3
2321,3
2325,3
2326,3
2327,3
