Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
AZ_batteries_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_biomass_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_conventional_hydroelectric_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_conventional_steam_coal_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_hydroelectric_pumped_storage_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_natural_gas_steam_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_nuclear_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_onshore_wind_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_other_peaker_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_small_hydroelectric_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_solar_photovoltaic_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_batteries_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_biomass_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_conventional_hydroelectric_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_geothermal_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_hydroelectric_pumped_storage_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_natural_gas_steam_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_nuclear_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_onshore_wind_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_other_peaker_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_small_hydroelectric_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_solar_photovoltaic_1,0.0,0.0,50.0,0.0,0.0,0.0
CO_batteries_1,0.0,0.0,50.0,0.0,0.0,0.0
