Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,Min_Power,num_units,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,CO2_Capture_Fraction,Rsv_Max,Commit,CO2_Capture_Fraction_Startup,Reg_Max,CCS_Disposal_Cost_per_Metric_Ton,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,spur_miles,spur_capex,spur_inv_mwyr,plant_inv_cost_mwyr,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Model,min_cap_mw
AZ_conventional_steam_coal_1,1,0,1,2175,AZ,Conventional Steam Coal,1,362.5,100,11.2,61968,1.88,0.865,0.637,7355.589,0,6,0.222,362.5,16.5,mountain_coal,124,0,0.19,1,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,24,24,1,0
AZ_natural_gas_fired_combined_cycle_1,1,0,1,10507.2,AZ,Natural Gas Fired Combined Cycle,1,375.26,158.782,8.12,10832,3.62,1.662,1.588,2407.938,0,28,0.316,375.257,2,mountain_naturalgas,92,0,0.213333333,1,0,0.106666667,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.64,6,6,1,0
AZ_natural_gas_fired_combustion_turbine_1,1,0,1,3159.3,AZ,Natural Gas Fired Combustion Turbine,1,50.96,19,12.3,12469,0,1.483,3.165,1616.446,0,62,0.23,50.956,3.5,mountain_naturalgas,119,0,1.26,1,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
AZ_natural_gas_steam_turbine_1,1,0,1,994,AZ,Natural Gas Steam Turbine,1,124.25,67.375,10.66,51303,1.06,0.458,0.676,0,0,8,0.115,124.25,13.7,mountain_naturalgas,87,0,0.19,1,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,24,24,1,0
AZ_nuclear_1,1,0,0,4003,AZ,Nuclear,1,1334.33,110,10.45,193275,0,0,0,0,0.5,3,0,1334.333,0,mountain_uranium,248,0,0.083333333,1,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,24,24,1,0
AZ_other_peaker_1,1,0,1,296,AZ,Other_peaker,1,22.77,4.308,10.73,0,0,0,0.824,0,0,13,0.221,22.769,0,mountain_naturalgas,87,0,1.26,1,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
CA_natural_gas_fired_combined_cycle_1,2,0,1,8940.3,CA,Natural Gas Fired Combined Cycle,1,308.29,152.641,7.72,12213,3.9,1.96,1.485,2741.497,0,29,0.345,308.286,2,pacific_naturalgas,92,0,0.213333333,1,0,0.106666667,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.64,6,6,1,0
CA_natural_gas_fired_combustion_turbine_1,2,0,1,3856.1,CA,Natural Gas Fired Combustion Turbine,1,58.43,31.874,11.49,13794,0,2.237,2.411,1436.265,0,66,0.166,58.426,3.5,pacific_naturalgas,119,0,1.26,1,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,3.78,3.78,1,1,1,0
CA_natural_gas_steam_turbine_1,2,0,1,0,CA,Natural Gas Steam Turbine,1,1,0,9.21,51303,1.06,0,0,0,0,1,0.001,0,13.7,pacific_naturalgas,87,0,0.19,1,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,24,24,1,0
CA_nuclear_1,2,0,0,2240,CA,Nuclear,1,1120,0,10.45,193275,0,0,0,0,0.5,2,0,1120,0,pacific_uranium,248,0,0.083333333,1,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,24,24,1,0
