Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,num_units,capacity_factor,unmodified_cap_size,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,min_cap_mw,var_om_cost_per_mwh
AZ_onshore_wind_turbine_1,1,0,1,617.3,AZ,Onshore Wind Turbine,1,102.88,0.833,8.77,0,0.443,0.221,6,0.257,102.883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345895244,0,0
AZ_solar_photovoltaic_1,1,0,1,3049.6,AZ,Solar Photovoltaic,1,26.29,0,8.77,0,0.443,0.203,116,1.454,26.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229879979,0,0
CA_onshore_wind_turbine_1,2,0,1,1578.7,CA,Onshore Wind Turbine,1,46.43,3.929,8.77,0,0,0.135,34,0.287,46.432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438298782,0,0
CA_solar_photovoltaic_1,2,0,1,5102,CA,Solar Photovoltaic,1,20.17,0.006,8.77,0,0.443,0.217,253,0.236,20.166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283200003,0,0
CO_onshore_wind_turbine_1,3,0,1,4958,CO,Onshore Wind Turbine,1,130.47,6.734,8.77,0,0,0.132,38,0.325,130.474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426193812,0,0
CO_solar_photovoltaic_1,3,0,1,2269.7,CO,Solar Photovoltaic,1,18.3,0,8.77,0,0.443,0.201,124,0.211,18.304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222553753,0,0
ID_onshore_wind_turbine_1,4,0,1,912.8,ID,Onshore Wind Turbine,1,29.44,0.903,8.77,0,0,0.143,31,0.309,29.445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363671565,0,0
ID_solar_photovoltaic_1,4,0,1,228,ID,Solar Photovoltaic,1,25.33,0,8.77,0,0.443,0.225,9,0.246,25.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227636402,0,0
MT_onshore_wind_turbine_1,5,0,1,842.9,MT,Onshore Wind Turbine,1,44.36,4.626,8.77,0,0.443,0.211,19,0.359,44.363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456776772,0,0
MT_solar_photovoltaic_1,5,0,1,177,MT,Solar Photovoltaic,1,22.12,0,8.77,0,0,0.187,8,0.192,22.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214111112,0,0
NM_onshore_wind_turbine_1,6,0,1,2149.9,NM,Onshore Wind Turbine,1,165.38,0.985,8.77,0,0,0.179,13,0.235,165.377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434693747,0,0
NM_solar_photovoltaic_1,6,0,1,1057.5,NM,Solar Photovoltaic,1,15.55,0,8.77,0,0,0.175,68,0.264,15.551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229270932,0,0
NV_onshore_wind_turbine_1,7,0,1,150,NV,Onshore Wind Turbine,1,150,150,8.77,0,0,0,1,0.251,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344940068,0,0
NV_solar_photovoltaic_1,7,0,1,5164.4,NV,Solar Photovoltaic,1,69.79,0,8.77,0,0.443,0.209,74,0.356,69.789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23608655,0,0
OR_onshore_wind_turbine_1,8,0,1,3954.8,OR,Onshore Wind Turbine,1,76.05,1.112,8.77,0,0,0.084,52,0.256,76.054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401318226,0,0
OR_solar_photovoltaic_1,8,0,1,1477.8,OR,Solar Photovoltaic,1,13.68,0,8.77,0,0.128,0.192,108,0.275,13.683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262053567,0,0
UT_onshore_wind_turbine_1,9,0,1,389.7,UT,Onshore Wind Turbine,1,64.95,0.517,8.77,0,0,0,6,0.237,64.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324503544,0,0
UT_solar_photovoltaic_1,9,0,1,2113.2,UT,Solar Photovoltaic,1,46.96,0,8.77,0,0.443,0.204,45,0.255,46.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226703039,0,0
WA_onshore_wind_turbine_1,10,0,1,3500.9,WA,Onshore Wind Turbine,1,129.66,0.922,8.77,0,0,0,27,0.238,129.663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403615459,0,0
WA_solar_photovoltaic_1,10,0,1,187.1,WA,Solar Photovoltaic,1,23.39,0,8.77,0,0.222,0.207,8,12.081,23.388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271756056,0,0
WY_onshore_wind_turbine_1,11,0,1,4450.4,WY,Onshore Wind Turbine,1,143.56,1.048,8.77,0,0.443,0.204,31,0.318,143.561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47362012,0,0
WY_solar_photovoltaic_1,11,0,1,92,WY,Solar Photovoltaic,1,92,0,8.77,0,0.222,0.256,1,0.163,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216298899,0,0
AZ_landbasedwind_class3_moderate_1,1,1,1,0,AZ,LandbasedWind_Class3_Moderate_,1,1,0,0,25879,0,0,0,0,0,1,Moderate,Class3,2030,1151392.761,113337,41490,0.955,27564.75,45.446,23651.326,470658.56,0.131,89686,0.333103597,0,0
AZ_landbasedwind_class3_moderate_2,1,1,1,0,AZ,LandbasedWind_Class3_Moderate_,2,1,0,0,25879,0,0,0,0,0,1,Moderate,Class3,2030,1151392.761,116652,41467.4,0.955,27954.5,56.409,26966.75,536637.25,0.152,89686,0.27180016,0,0
AZ_landbasedwind_class3_moderate_3,1,1,1,0,AZ,LandbasedWind_Class3_Moderate_,3,1,0,0,25879,0,0,0,0,0,1,Moderate,Class3,2030,1151392.761,117711,41355.1,0.955,28150.75,67.281,28025.557,557707.25,0.173,89686,0.230418175,0,0
AZ_utilitypv_class1_moderate_1,1,1,1,0,AZ,UtilityPV_Class1_Moderate_,1,1,0,0,15910,0,0,0,0,0,1,Moderate,Class1,2030,956073.689,79824,291737.3,0.965,35279.279,26.477,9575.356,190547.53,0.954,70249,0.279457897,0,0
AZ_utilitypv_class1_moderate_2,1,1,1,0,AZ,UtilityPV_Class1_Moderate_,2,1,0,0,15910,0,0,0,0,0,1,Moderate,Class1,2030,956073.689,92733,291666.2,0.965,33130.745,30.616,22484.348,447433.7,0.302,70249,0.29611811,0,0
