Derating_factor_2,Derating_factor_1,Resource,Derating_factor_3
0.0,0.9,WA_biomass_1,0.0
0.0,0.8,WA_conventional_hydroelectric_1,0.0
0.0,0.9,WA_natural_gas_fired_combined_cycle_1,0.0
0.0,0.9,WA_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.9,WA_natural_gas_steam_turbine_1,0.0
0.0,0.8,WA_onshore_wind_turbine_1,0.0
0.0,0.9,WA_other_peaker_1,0.0
0.0,0.8,WA_small_hydroelectric_1,0.0
0.0,0.8,WA_solar_photovoltaic_1,0.0
0.9,0.0,CA_biomass_1,0.0
0.8,0.0,CA_conventional_hydroelectric_1,0.0
0.9,0.0,CA_geothermal_1,0.0
0.95,0.0,CA_hydroelectric_pumped_storage_1,0.0
0.9,0.0,CA_natural_gas_fired_combined_cycle_1,0.0
0.9,0.0,CA_natural_gas_fired_combustion_turbine_1,0.0
0.9,0.0,CA_natural_gas_steam_turbine_1,0.0
0.8,0.0,CA_onshore_wind_turbine_1,0.0
0.9,0.0,CA_other_peaker_1,0.0
0.8,0.0,CA_small_hydroelectric_1,0.0
0.8,0.0,CA_solar_photovoltaic_1,0.0
0.9,0.0,CA_biomass_1,0.0
0.8,0.0,CA_conventional_hydroelectric_1,0.0
0.95,0.0,CA_hydroelectric_pumped_storage_1,0.0
0.9,0.0,CA_natural_gas_fired_combined_cycle_1,0.0
0.9,0.0,CA_natural_gas_fired_combustion_turbine_1,0.0
0.8,0.0,CA_onshore_wind_turbine_1,0.0
0.9,0.0,CA_other_peaker_1,0.0
0.8,0.0,CA_small_hydroelectric_1,0.0
0.8,0.0,CA_solar_photovoltaic_1,0.0
0.0,0.9,NV_biomass_1,0.0
0.0,0.9,NV_conventional_steam_coal_1,0.0
0.0,0.9,NV_geothermal_1,0.0
0.0,0.9,NV_natural_gas_fired_combined_cycle_1,0.0
0.0,0.9,NV_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.9,NV_natural_gas_steam_turbine_1,0.0
0.0,0.8,NV_onshore_wind_turbine_1,0.0
0.0,0.9,NV_other_peaker_1,0.0
0.0,0.8,NV_small_hydroelectric_1,0.0
0.0,0.8,NV_solar_photovoltaic_1,0.0
0.0,0.9,NV_biomass_1,0.0
0.0,0.8,NV_conventional_hydroelectric_1,0.0
0.0,0.9,NV_natural_gas_fired_combined_cycle_1,0.0
0.0,0.9,NV_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.8,NV_solar_photovoltaic_1,0.0
0.0,0.9,ID_biomass_1,0.0
0.0,0.8,ID_conventional_hydroelectric_1,0.0
0.0,0.9,ID_natural_gas_fired_combined_cycle_1,0.0
0.0,0.9,ID_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.8,ID_small_hydroelectric_1,0.0
0.0,0.9,ID_biomass_1,0.0
0.0,0.8,ID_conventional_hydroelectric_1,0.0
0.0,0.9,ID_natural_gas_fired_combined_cycle_1,0.0
0.0,0.9,ID_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.9,ID_natural_gas_steam_turbine_1,0.0
0.0,0.8,ID_onshore_wind_turbine_1,0.0
0.0,0.9,ID_other_peaker_1,0.0
0.0,0.8,ID_small_hydroelectric_1,0.0
0.0,0.8,ID_solar_photovoltaic_1,0.0
0.0,0.9,ID_biomass_1,0.0
0.0,0.8,ID_conventional_hydroelectric_1,0.0
0.0,0.9,ID_geothermal_1,0.0
0.0,0.9,ID_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.9,ID_natural_gas_steam_turbine_1,0.0
0.0,0.8,ID_onshore_wind_turbine_1,0.0
0.0,0.8,ID_small_hydroelectric_1,0.0
0.0,0.8,ID_solar_photovoltaic_1,0.0
0.0,0.9,MT_biomass_1,0.0
0.0,0.8,MT_conventional_hydroelectric_1,0.0
0.0,0.9,MT_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.9,MT_other_peaker_1,0.0
0.0,0.8,MT_small_hydroelectric_1,0.0
0.0,0.8,MT_solar_photovoltaic_1,0.0
0.0,0.8,MT_conventional_hydroelectric_1,0.0
0.0,0.9,MT_conventional_steam_coal_1,0.0
0.0,0.8,MT_onshore_wind_turbine_1,0.0
0.0,0.8,MT_small_hydroelectric_1,0.0
0.0,0.8,MT_solar_photovoltaic_1,0.0
0.0,0.8,MT_conventional_hydroelectric_1,0.0
0.0,0.9,WA_biomass_1,0.0
0.0,0.8,WA_conventional_hydroelectric_1,0.0
0.0,0.9,WA_conventional_steam_coal_1,0.0
0.0,0.9,WA_natural_gas_fired_combined_cycle_1,0.0
0.0,0.9,WA_nuclear_1,0.0
0.0,0.8,WA_onshore_wind_turbine_1,0.0
0.0,0.8,WA_small_hydroelectric_1,0.0
0.0,0.8,WA_solar_photovoltaic_1,0.0
0.0,0.9,MT_conventional_steam_coal_1,0.0
